.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR18396491_1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR18396491_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR18396493_1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR18396493_2	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR18396494_1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR18396494_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR18396495_1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR18396495_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR18396500_1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR18396500_2	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR18396512_1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR18396512_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
