Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
SRR18396491_1 - illumina_universal_adapter	(1, 0.007960736350643734)	(2, 0.00797321399382656)	(3, 0.00802312456655787)	(4, 0.008085512782472005)	(5, 0.008210289214300278)	(6, 0.008235244500665932)	(7, 0.00842240914840834)	(8, 0.008634529082516402)	(9, 0.008884081946172944)	(10, 0.008983903091635562)	(11, 0.00903381366436687)	(12, 0.009146112453012315)	(13, 0.009295844171206241)	(14, 0.009507964105314303)	(15, 0.01000706983262739)	(16, 0.01071829549404854)	(17, 0.010880504855425292)	(18, 0.011030236573619217)	(19, 0.011741462235040367)	(20, 0.03014598592971044)	(21, 0.030383061150184156)	(22, 0.030470404652463947)	(23, 0.03064509165702353)	(24, 0.030907122163862898)	(25, 0.031044376238874)	(26, 0.03138127260481033)	(27, 0.031680736041198185)	(28, 0.03204258769350017)	(29, 0.03252921577763043)	(30, 0.033178053223137445)	(31, 0.03373954716636467)	(32, 0.03425113053686058)	(33, 0.035161998489206966)	(34, 0.03592313472335942)	(35, 0.036883913248437115)	(36, 0.03790707998942894)	(37, 0.03904254551906621)	(38, 0.04045251919872568)	(39, 0.04196231402384777)	(40, 0.04375909464217488)	(41, 0.04556835290368482)	(42, 0.04807635918343309)	(43, 0.050397200815438935)	(44, 0.05354156689751138)	(45, 0.05646133540229294)	(46, 0.060004986066215855)	(47, 0.06423490710519426)	(48, 0.0693881737397019)	(49, 0.07537744246745894)	(50, 0.08233996736347649)	(51, 0.09056273422095959)	(52, 0.0996090255285093)	(53, 0.10917937784973773)	(54, 0.11929874647101056)	(55, 0.1306534017673833)	(56, 0.14416668933438512)	(57, 0.1581166944127859)	(58, 0.1741878988322673)	(59, 0.1942644267134362)	(60, 0.21578836120381306)	(61, 0.24123027565359767)	(62, 0.2695420480354325)	(63, 0.29921388352419553)	(64, 0.33220477209959054)	(65, 0.3682776385411439)
SRR18396491_1 - polya	(1, 0.0028948132184159034)	(2, 0.006401030952790338)	(3, 0.010730773137231366)	(4, 0.0178180744650772)	(5, 0.02601588603619465)	(6, 0.027837621940887416)	(7, 0.03194276654803755)	(8, 0.03331530729814854)	(9, 0.037183376684824965)	(10, 0.03957908417592778)	(11, 0.040277832194166106)	(12, 0.04098905785558725)	(13, 0.04216195631477301)	(14, 0.04323503362849614)	(15, 0.04447032030359603)	(16, 0.045780472837792886)	(17, 0.047415044094743244)	(18, 0.04875015191530575)	(19, 0.051345501697333804)	(20, 0.053928373836179024)	(21, 0.0550638393658163)	(22, 0.05642390247274446)	(23, 0.059930120207118895)	(24, 0.0734808407036692)	(25, 0.07497815788560847)	(26, 0.07782306053129305)	(27, 0.0792205565677697)	(28, 0.08120450183383922)	(29, 0.08296384952261784)	(30, 0.08418665855453492)	(31, 0.08519734765234391)	(32, 0.08654493311608925)	(33, 0.08749323399798412)	(34, 0.09036309193003436)	(35, 0.09132387045511205)	(36, 0.09480513290312083)	(37, 0.10083183456042635)	(38, 0.11916149239599946)	(39, 0.14107223382504397)	(40, 0.14258202865016606)	(41, 0.1445285409866871)	(42, 0.1465998297550364)	(43, 0.15126646830541376)	(44, 0.153487488791957)	(45, 0.1546354319647771)	(46, 0.15548391170120937)	(47, 0.15622009264899617)	(48, 0.15884039771738986)	(49, 0.1602254161106837)	(50, 0.16118619463576137)	(51, 0.16222183901993603)	(52, 0.1634446480518531)	(53, 0.16540363803155697)	(54, 0.16667635763620534)	(55, 0.1686852581886405)	(56, 0.16999541072283736)	(57, 0.1711683091820231)	(58, 0.17266562636396238)	(59, 0.17496151270960256)	(60, 0.17744456370298517)	(61, 0.17902922438720423)	(62, 0.1807636167896172)	(63, 0.18269765148295541)	(64, 0.18479389553767037)	(65, 0.18936071294258514)
SRR18396491_1 - polyg	(1, 0.5078400775410657)	(2, 0.5095245593707475)	(3, 0.5095744699434788)	(4, 0.5096119028730273)	(5, 0.5097865898775868)	(6, 0.5123819396596149)	(7, 0.5124318502323462)	(8, 0.5124443278755291)	(9, 0.5124568055187119)	(10, 0.5124568055187119)	(11, 0.5124568055187119)	(12, 0.5124568055187119)	(13, 0.5124692831618947)	(14, 0.5124817608050775)	(15, 0.5124942384482604)	(16, 0.512519193734626)	(17, 0.512519193734626)	(18, 0.5125441490209917)	(19, 0.5125441490209917)	(20, 0.512594059593723)	(21, 0.5126314925232714)	(22, 0.5126314925232714)	(23, 0.5126439701664542)	(24, 0.5126439701664542)	(25, 0.512656447809637)	(26, 0.51266892545282)	(27, 0.51266892545282)	(28, 0.5126814030960027)	(29, 0.5126938807391855)	(30, 0.5127063583823684)	(31, 0.5127562689550997)	(32, 0.5127812242414653)	(33, 0.5128186571710138)	(34, 0.5128311348141966)	(35, 0.5128436124573795)	(36, 0.5128560901005623)	(37, 0.5129060006732936)	(38, 0.5129060006732936)	(39, 0.5129309559596593)	(40, 0.5129434336028421)	(41, 0.5129559112460249)	(42, 0.5129683888892078)	(43, 0.5129683888892078)	(44, 0.5129683888892078)	(45, 0.5129808665323906)	(46, 0.5129933441755734)	(47, 0.5130058218187562)	(48, 0.5130058218187562)	(49, 0.5130058218187562)	(50, 0.5130058218187562)	(51, 0.5130307771051219)	(52, 0.5130307771051219)	(53, 0.5130307771051219)	(54, 0.5130557323914876)	(55, 0.5130682100346704)	(56, 0.5130682100346704)	(57, 0.5130806876778532)	(58, 0.5131181206074017)	(59, 0.5131430758937674)	(60, 0.5131555535369502)	(61, 0.5131805088233158)	(62, 0.5132304193960471)	(63, 0.5132678523255956)	(64, 0.5133052852551441)	(65, 0.5133801511142411)
SRR18396491_2 - illumina_universal_adapter	(1, 0.008310110359762896)	(2, 0.008335065646128549)	(3, 0.008384976218859858)	(4, 0.00845984207795682)	(5, 0.008584618509785093)	(6, 0.008609573796150747)	(7, 0.008796738443893155)	(8, 0.009046291307549697)	(9, 0.009295844171206241)	(10, 0.009395665316668859)	(11, 0.009445575889400168)	(12, 0.009557874678045612)	(13, 0.00969512875305671)	(14, 0.009907248687164772)	(15, 0.010431309700843513)	(16, 0.011105102432716181)	(17, 0.011267311794092934)	(18, 0.01141704351228686)	(19, 0.012103313887342355)	(20, 0.02349540211326356)	(21, 0.023732477333737276)	(22, 0.023857253765565547)	(23, 0.024081851342856436)	(24, 0.024418747708792772)	(25, 0.024618389999718004)	(26, 0.0250301522247513)	(27, 0.02552925795206439)	(28, 0.025916064890732032)	(29, 0.02662729055215318)	(30, 0.027413382072671293)	(31, 0.02821195123637223)	(32, 0.02908538625917013)	(33, 0.030308195291087196)	(34, 0.031281451459347714)	(35, 0.032766290998104144)	(36, 0.03391423417092425)	(37, 0.035361640780132195)	(38, 0.03704612260981387)	(39, 0.038917769087237944)	(40, 0.04091419199649029)	(41, 0.042923092548925464)	(42, 0.045842861053707024)	(43, 0.04855050962438052)	(44, 0.05201929442920647)	(45, 0.05540073573175263)	(46, 0.05928128276161188)	(47, 0.06384810016652663)	(48, 0.06937569609651906)	(49, 0.07587654819477202)	(50, 0.08311358124081178)	(51, 0.09152351274603729)	(52, 0.10099404392180311)	(53, 0.11105102432716181)	(54, 0.12144490109845683)	(55, 0.1333735279812396)	(56, 0.14762299649602825)	(57, 0.16218440609038756)	(58, 0.17894188088492444)	(59, 0.19999166493435386)	(60, 0.22261363202481954)	(61, 0.2489664144269505)	(62, 0.27828887590659435)	(63, 0.3088091911317896)	(64, 0.3429355452368219)	(65, 0.3803435194989378)
SRR18396491_2 - polya	(1, 0.0021960652001775816)	(2, 0.01000706983262739)	(3, 0.012739673689666539)	(4, 0.02072536532667593)	(5, 0.02556669088161287)	(6, 0.03005864242743065)	(7, 0.03543650663922916)	(8, 0.04140082008062055)	(9, 0.05035976788589046)	(10, 0.05958074619799973)	(11, 0.06694255567586777)	(12, 0.07411720050599338)	(13, 0.08139166648158162)	(14, 0.0900137179209152)	(15, 0.09896018808300228)	(16, 0.10818116639511156)	(17, 0.11974794162559234)	(18, 0.13064092412420047)	(19, 0.1436051953911579)	(20, 0.15439835674430338)	(21, 0.16515408516790042)	(22, 0.1784178198712457)	(23, 0.19211827208598992)	(24, 0.20750320613041584)	(25, 0.2282909596730059)	(26, 0.24875429449284245)	(27, 0.262142805628016)	(28, 0.27787711368156104)	(29, 0.2882585128096733)	(30, 0.3008609324243287)	(31, 0.31549720787778496)	(32, 0.33494985359981255)	(33, 0.35538823313328344)	(34, 0.3710726306140972)	(35, 0.38932742259057335)	(36, 0.40815618615345955)	(37, 0.42367837427289656)	(38, 0.4385018143740952)	(39, 0.4522272218752051)	(40, 0.46399363939661115)	(41, 0.47750692696361297)	(42, 0.49492571684683967)	(43, 0.5157384256757954)	(44, 0.5348416973887038)	(45, 0.5534832963038476)	(46, 0.5744207815646316)	(47, 0.5977664519597012)	(48, 0.6251548787460068)	(49, 0.6567233159985596)	(50, 0.6811295860641695)	(51, 0.7075073237526661)	(52, 0.7498065341424502)	(53, 0.7943018097324119)	(54, 0.840144670786119)	(55, 0.9177181784537555)	(56, 0.955438093795442)	(57, 0.992334484687062)	(58, 1.072465909207178)	(59, 1.1305368605800556)	(60, 1.1627291799917499)	(61, 1.1879964074369749)	(62, 1.212377722216219)	(63, 1.2340014778520585)	(64, 1.2557125769901778)	(65, 1.2736179949575348)
SRR18396491_2 - polyg	(1, 2.754115313886344)	(2, 2.77303142095151)	(3, 2.7822149663340707)	(4, 2.792234513809881)	(5, 2.798036617889896)	(6, 2.804325350054041)	(7, 2.8115374278137146)	(8, 2.8230792477578297)	(9, 2.839250273322774)	(10, 2.85159066243059)	(11, 2.8675870009909743)	(12, 2.879790136023779)	(13, 2.9014513245891673)	(14, 2.9088755222829494)	(15, 2.9137792360538004)	(16, 2.9194066531292555)	(17, 2.924846905556968)	(18, 2.9292764688868718)	(19, 2.934017973296346)	(20, 2.938859298851283)	(21, 2.9430393093175304)	(22, 2.9463209294746138)	(23, 2.9493155638384922)	(24, 2.953083812079706)	(25, 2.9564527757390695)	(26, 2.9591354690233773)	(27, 2.9622174468895355)	(28, 2.9648377519579294)	(29, 2.968256626190024)	(30, 2.9709018865447834)	(31, 2.9732476834631547)	(32, 2.9756558685974404)	(33, 2.9780266208021775)	(34, 2.980821612875131)	(35, 2.982842991070749)	(36, 2.9851388774163894)	(37, 2.9879338694893423)	(38, 2.9911281461441463)	(39, 2.994022959362562)	(40, 3.000661065535826)	(41, 3.0041548056270178)	(42, 3.0061886614658184)	(43, 3.007985442084146)	(44, 3.009320549904708)	(45, 3.010792911800282)	(46, 3.012302706625404)	(47, 3.0134880827277724)	(48, 3.01444886125285)	(49, 3.0154221174211107)	(50, 3.0164328065189197)	(51, 3.017331196828083)	(52, 3.0180424224895046)	(53, 3.0188285140100226)	(54, 3.01987663603738)	(55, 3.020750071060178)	(56, 3.021760760157987)	(57, 3.022709061039882)	(58, 3.0234951525604)	(59, 3.0245307969445747)	(60, 3.0254666201832867)	(61, 3.0263400552060844)	(62, 3.0272010125856994)	(63, 3.0279371935334862)	(64, 3.0288854944153814)	(65, 3.0299710493722873)
SRR18396493_1 - illumina_universal_adapter	(1, 0.008278992781093267)	(2, 0.008308595854208022)	(3, 0.008328331236284526)	(4, 0.008338198927322777)	(5, 0.008417140455628792)	(6, 0.0084566112197818)	(7, 0.008614494276393828)	(8, 0.008703303495738095)	(9, 0.009019069608962153)	(10, 0.00910787882830642)	(11, 0.009176952665574181)	(12, 0.009236158811803693)	(13, 0.009354571104262714)	(14, 0.009463115705683485)	(15, 0.009857823347213556)	(16, 0.010134118696284607)	(17, 0.010282134061858385)	(18, 0.01043014942743216)	(19, 0.010814989377923983)	(20, 0.01751515159289696)	(21, 0.018778216045793193)	(22, 0.018955834484481723)	(23, 0.01921239445147627)	(24, 0.019439351345356064)	(25, 0.019587366710929838)	(26, 0.019932735897268652)	(27, 0.020179428173224948)	(28, 0.02050506197748726)	(29, 0.020889901927979078)	(30, 0.02137341878885342)	(31, 0.02193587717803377)	(32, 0.022616747859673145)	(33, 0.023425898524809793)	(34, 0.024096901515410916)	(35, 0.024876449107432808)	(36, 0.025734938227760715)	(37, 0.026879590388197927)	(38, 0.02825119944251493)	(39, 0.02985963308174997)	(40, 0.03174436207005607)	(41, 0.033875783334318454)	(42, 0.036263764565575396)	(43, 0.03880962885344436)	(44, 0.04147390543377235)	(45, 0.04453288965563041)	(46, 0.04786816922655952)	(47, 0.05215074713716081)	(48, 0.057390491078472515)	(49, 0.06322229648207933)	(50, 0.06991259100601406)	(51, 0.07780674383661551)	(52, 0.08703303495738095)	(53, 0.09722635979989507)	(54, 0.10738021387825618)	(55, 0.11846163091421295)	(56, 0.1311909523535578)	(57, 0.14570632587082621)	(58, 0.1625998129283133)	(59, 0.18275950571946173)	(60, 0.20507035515694907)	(61, 0.22991720119126713)	(62, 0.25884927131542146)	(63, 0.28993249808591465)	(64, 0.32433126904526044)	(65, 0.36282513178548076)
SRR18396493_1 - polya	(1, 0.0039865471794537305)	(2, 0.007302091368306338)	(3, 0.008545420439126065)	(4, 0.012650379911038819)	(5, 0.020376781993989984)	(6, 0.02303119088327972)	(7, 0.034507315560766576)	(8, 0.03862214272371758)	(9, 0.04440460967213314)	(10, 0.0471971662359584)	(11, 0.04827274455912785)	(12, 0.04935819057333554)	(13, 0.05103569804983835)	(14, 0.05218035021027556)	(15, 0.05369997463016634)	(16, 0.054824891408527046)	(17, 0.056117558934538035)	(18, 0.0578246694841556)	(19, 0.060567887592789596)	(20, 0.06308414880754382)	(21, 0.06424853635005752)	(22, 0.06546226234776249)	(23, 0.06745553593748936)	(24, 0.0755371748978176)	(25, 0.0774613746502767)	(26, 0.08304648777792722)	(27, 0.08549367515541367)	(28, 0.08745734567202577)	(29, 0.0887401455069985)	(30, 0.08985519459432097)	(31, 0.09086169908022265)	(32, 0.09212476353311888)	(33, 0.09288457574306427)	(34, 0.09497652624317365)	(35, 0.09585475074557806)	(36, 0.09821312890372025)	(37, 0.10184443920579692)	(38, 0.11472177601071552)	(39, 0.1331348874880934)	(40, 0.13465451190798416)	(41, 0.1394008712973833)	(42, 0.1413053356677659)	(43, 0.14393014148394087)	(44, 0.14700886108787545)	(45, 0.14868636856437825)	(46, 0.14977181457858593)	(47, 0.1506007006257991)	(48, 0.15350180179104514)	(49, 0.15484380777224738)	(50, 0.15573189996569003)	(51, 0.1566791983053622)	(52, 0.1576857027912639)	(53, 0.1588106195696246)	(54, 0.1607545547041602)	(55, 0.1628662405863461)	(56, 0.16414904042131884)	(57, 0.16522461874448827)	(58, 0.16697120005825886)	(59, 0.1684316183319201)	(60, 0.17036568577541747)	(61, 0.171835971740117)	(62, 0.1735726853628493)	(63, 0.17495416210820455)	(64, 0.176029740431374)	(65, 0.1781611616956364)
SRR18396493_1 - polyg	(1, 0.5001537879648311)	(2, 0.5020483846441754)	(3, 0.5020977230993667)	(4, 0.5021273261724816)	(5, 0.5024430922857056)	(6, 0.5029068737645034)	(7, 0.5029167414555417)	(8, 0.5029167414555417)	(9, 0.5029167414555417)	(10, 0.5029266091465799)	(11, 0.5029463445286564)	(12, 0.5029463445286564)	(13, 0.5029660799107329)	(14, 0.5029660799107329)	(15, 0.5029660799107329)	(16, 0.5029759476017712)	(17, 0.5029759476017712)	(18, 0.5029759476017712)	(19, 0.5029759476017712)	(20, 0.5029858152928094)	(21, 0.5029956829838477)	(22, 0.5030154183659242)	(23, 0.5030154183659242)	(24, 0.5030154183659242)	(25, 0.5030154183659242)	(26, 0.5030252860569624)	(27, 0.5030252860569624)	(28, 0.5030351537480007)	(29, 0.5030351537480007)	(30, 0.5030351537480007)	(31, 0.5030746245121537)	(32, 0.503084492203192)	(33, 0.5030943598942302)	(34, 0.5031140952763067)	(35, 0.5031733014225362)	(36, 0.5031733014225362)	(37, 0.5031831691135744)	(38, 0.503202904495651)	(39, 0.5032127721866893)	(40, 0.5032127721866893)	(41, 0.5032226398777274)	(42, 0.503242375259804)	(43, 0.5032621106418804)	(44, 0.5032917137149953)	(45, 0.5033015814060334)	(46, 0.5033114490970717)	(47, 0.5033311844791483)	(48, 0.5033311844791483)	(49, 0.5033311844791483)	(50, 0.5033509198612247)	(51, 0.5033706552433013)	(52, 0.5033805229343395)	(53, 0.5033805229343395)	(54, 0.503400258316416)	(55, 0.5034298613895307)	(56, 0.5034495967716073)	(57, 0.5034693321536837)	(58, 0.503479199844722)	(59, 0.5034989352267986)	(60, 0.503518670608875)	(61, 0.503558141373028)	(62, 0.503637082901334)	(63, 0.5036469505923723)	(64, 0.5036568182834106)	(65, 0.5036962890475636)
SRR18396493_2 - illumina_universal_adapter	(1, 0.00846647891082005)	(2, 0.008496081983934808)	(3, 0.00851581736601131)	(4, 0.008525685057049563)	(5, 0.008604626585355577)	(6, 0.008644097349508583)	(7, 0.008801980406120614)	(8, 0.00889078962546488)	(9, 0.009236158811803693)	(10, 0.009324968031147959)	(11, 0.009423644941530477)	(12, 0.009472983396721736)	(13, 0.00960126338021901)	(14, 0.009709807981639779)	(15, 0.010104515623169852)	(16, 0.010380810972240903)	(17, 0.010528826337814679)	(18, 0.010676841703388456)	(19, 0.011012343198689017)	(20, 0.014979154996066245)	(21, 0.01637049943245975)	(22, 0.01658758863530129)	(23, 0.016893487057487097)	(24, 0.017199385479672903)	(25, 0.017416474682514442)	(26, 0.01789999154338878)	(27, 0.018255228420765844)	(28, 0.018709142208525428)	(29, 0.01921239445147627)	(30, 0.019834058986886133)	(31, 0.02061360657890803)	(32, 0.02162011106480971)	(33, 0.022685821696940906)	(34, 0.023544310817268814)	(35, 0.02461002144940001)	(36, 0.025715202845684213)	(37, 0.027037473444809956)	(38, 0.028784054758580525)	(39, 0.030925343713881167)	(40, 0.032938352685684534)	(41, 0.03536580468109448)	(42, 0.03819783200907275)	(43, 0.040960785499783256)	(44, 0.0439605635754118)	(45, 0.047167563162843644)	(46, 0.050789005773882054)	(47, 0.055397217488745654)	(48, 0.0610810075267787)	(49, 0.06727791749880083)	(50, 0.07452080272087766)	(51, 0.08278992781093267)	(52, 0.09270695730437574)	(53, 0.10342326977191721)	(54, 0.11439614220645321)	(55, 0.12613869454197288)	(56, 0.13929232669596253)	(57, 0.154202407854761)	(58, 0.17177676559388746)	(59, 0.19241997524591026)	(60, 0.21540182767399874)	(61, 0.24129464895837147)	(62, 0.27098653129247113)	(63, 0.30260261337902994)	(64, 0.33798815344220096)	(65, 0.37762666834285846)
