Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
SRR18396491_1	(1, 0.01040635441447786)	(2, 0.010481220273574822)	(3, 0.0007860915205181116)	(4, 0.001696959472864495)	(5, 0.004117622250332966)	(6, 0.00048662808413025963)	(7, 0.0002869857932050249)	(8, 0.0002869857932050249)	(9, 0.0002869857932050249)	(10, 0.00031817990116209284)	(12, 0.0002869857932050249)	(14, 0.0002869857932050249)	(16, 0.0002869857932050249)	(18, 0.0002869857932050249)	(20, 0.0004117622250332966)	(22, 0.0004367175113989509)	(24, 0.00043047868980753735)	(26, 0.000586449229592877)	(28, 0.001759347688778631)	(30, 0.0021087216978977917)	(32, 0.0027076485706734954)	(34, 0.0033065754434492)	(36, 0.005402835340607279)	(38, 0.005483941627652592)	(40, 0.0030320775083859403)	(42, 0.002458104755066394)	(44, 0.00035561431718214207)	(46, 0.0008983954656982628)	(48, 0.0012477777857496915)	(50, 0.0025018181854481155)	(52, 0.004604383910036577)	(54, 0.0063513696216985745)	(56, 0.00660101341153725)	(58, 0.009870443872987477)	(60, 0.012141670205907378)	(62, 0.01762616214122493)	(64, 0.015511151401004506)	(66, 0.014975021663864673)	(68, 0.017596335569357517)	(70, 0.019901543215211943)	(72, 0.02078328890819228)	(74, 0.020754980441413724)	(76, 0.03242151836868716)
SRR18396491_2	(1, 0.45971380778490145)	(2, 0.41325954221523586)	(3, 0.38580872721301607)	(4, 0.352605718703513)	(5, 0.3232083913647722)	(6, 0.29429769211016166)	(7, 0.2886827526778894)	(8, 0.26773278977392256)	(9, 0.2492783555065212)	(10, 0.2410493498274467)	(12, 0.2325271195335757)	(14, 0.2260387450785056)	(16, 0.22743000229339083)	(18, 0.22491575719205112)	(20, 0.2127126221592462)	(22, 0.2107536321795423)	(24, 0.20852637287140766)	(26, 0.19896225937177064)	(28, 0.19340346933382113)	(30, 0.19281078128263685)	(32, 0.1969720752841097)	(34, 0.19647920837838803)	(36, 0.16717363166257476)	(38, 0.16540854487661635)	(40, 0.17082063303052317)	(42, 0.16895548972721042)	(44, 0.1745919338713781)	(46, 0.17655205917280595)	(48, 0.17415614001342322)	(50, 0.16500716067044122)	(52, 0.16767268614064734)	(54, 0.1684283290869989)	(56, 0.16985198692810619)	(58, 0.1712381667199556)	(60, 0.16917924505751264)	(62, 0.1711142089514382)	(64, 0.1694732038361833)	(66, 0.176534355670198)	(68, 0.16806191908649012)	(70, 0.16328648841916843)	(72, 0.16628819946374027)	(74, 0.17275271559534988)	(76, 0.22129827755180587)
SRR18396493_1	(1, 0.010992607816612515)	(2, 0.010222927915628873)	(3, 0.0009078275755191664)	(4, 0.0018945966793443472)	(5, 0.003729987212459183)	(6, 0.0005427230071038495)	(7, 0.00029603073114755425)	(8, 0.00029603073114755425)	(9, 0.00029603073114755425)	(10, 0.0003503030318579392)	(12, 0.00029603073114755425)	(14, 0.00029603073114755425)	(16, 0.00029603073114755425)	(18, 0.00029603073114755425)	(20, 0.0004736491698360868)	(22, 0.00045884763327870906)	(24, 0.0004539137877595832)	(26, 0.0006413999174863675)	(28, 0.0019735382076503617)	(30, 0.0020722151180328796)	(32, 0.002945505774918165)	(34, 0.003369816489562993)	(36, 0.00555552759700933)	(38, 0.005451920010811083)	(40, 0.0032563513776808595)	(42, 0.002605082001863423)	(44, 0.0004440485066747398)	(46, 0.0008782315219594391)	(48, 0.0012581477400952935)	(50, 0.0023436300431464757)	(52, 0.00442579918239651)	(54, 0.006024475059018639)	(56, 0.006202174609718171)	(58, 0.009360125627984496)	(60, 0.011477040319000537)	(62, 0.016692655498031766)	(64, 0.014551310417297436)	(66, 0.014265565416992938)	(68, 0.01648678991640097)	(70, 0.018576888899198413)	(72, 0.019396426006720067)	(74, 0.019810964718284297)	(76, 0.03038087199525933)
SRR18396493_2	(1, 0.45541367679739747)	(2, 0.40898619046242274)	(3, 0.38204739392799525)	(4, 0.34928665968099926)	(5, 0.32060128183280123)	(6, 0.2923204793171716)	(7, 0.28633079085695273)	(8, 0.26508565205159657)	(9, 0.2467712174846012)	(10, 0.23780148633083031)	(12, 0.22965570737875346)	(14, 0.22332558357771493)	(16, 0.2243912942098461)	(18, 0.22243255753875316)	(20, 0.21058146060181274)	(22, 0.20830695781749567)	(24, 0.20596831504143)	(26, 0.1973242176919214)	(28, 0.19186245070224903)	(30, 0.19136413230481733)	(32, 0.19531120872011803)	(34, 0.19474381648541855)	(36, 0.16613539565883303)	(38, 0.16459655041165425)	(40, 0.17001688471796067)	(42, 0.16799922493027755)	(44, 0.17342903690397557)	(46, 0.17520139671512927)	(48, 0.1733608637788325)	(50, 0.16424528506758743)	(52, 0.166772830726712)	(54, 0.16776541803478984)	(56, 0.16909391622200953)	(58, 0.17018029585607525)	(60, 0.16832018889687914)	(62, 0.17065002234614537)	(64, 0.1685873875391034)	(66, 0.17542567700432055)	(68, 0.16738390875582898)	(70, 0.16291546763966078)	(72, 0.16574047426634483)	(74, 0.172309813934769)	(76, 0.22151983931085603)
SRR18396494_1	(1, 0.011381175456758581)	(2, 0.010972823096620251)	(3, 0.0006981508092687556)	(4, 0.002068107114248955)	(5, 0.0038727610929247948)	(6, 0.000553251584703542)	(7, 0.00026345313557311526)	(8, 0.00026345313557311526)	(9, 0.00026345313557311526)	(10, 0.0003095574342984105)	(12, 0.00026345313557311526)	(14, 0.00026345313557311526)	(16, 0.00026345313557311526)	(18, 0.00026345313557311526)	(20, 0.0003951797033596729)	(22, 0.00042811134530631236)	(24, 0.0004412840020849681)	(26, 0.0005795968982608537)	(28, 0.0016531684257212985)	(30, 0.0019166215612944138)	(32, 0.0027596715951283828)	(34, 0.003095574342984105)	(36, 0.005420563973127176)	(38, 0.005209804285238563)	(40, 0.002917755583369004)	(42, 0.002239361976792833)	(44, 0.00034249079062023105)	(46, 0.0007574332523472528)	(48, 0.0011460351793281599)	(50, 0.0023711267890892604)	(52, 0.0041692749334496775)	(54, 0.005941106509351611)	(56, 0.00623759520483716)	(58, 0.009392764988936165)	(60, 0.011810259908053867)	(62, 0.017251160896420117)	(64, 0.014754839126144653)	(66, 0.014320469985441075)	(68, 0.016685906291739466)	(70, 0.01894146776807843)	(72, 0.019869243719474832)	(74, 0.020069118348193183)	(76, 0.0316170513499293)
SRR18396494_2	(1, 0.4611747138207383)	(2, 0.41409563849382264)	(3, 0.38707851944079963)	(4, 0.35443667594329065)	(5, 0.32465329896675)	(6, 0.2966087126849919)	(7, 0.29044390931258096)	(8, 0.2686958529710203)	(9, 0.2514264999342026)	(10, 0.24208708627813563)	(12, 0.23287939918985526)	(14, 0.22681339074328427)	(16, 0.22825579666054707)	(18, 0.22567395593193054)	(20, 0.21362097497946053)	(22, 0.21128941472963844)	(24, 0.2088195415836405)	(26, 0.19995434357160516)	(28, 0.19465893554658556)	(30, 0.19396078473731682)	(32, 0.19816944857809732)	(34, 0.19757667902305784)	(36, 0.1686507295965757)	(38, 0.16685296659633256)	(40, 0.17226994760745593)	(42, 0.17014279832590135)	(44, 0.175394580155277)	(46, 0.1772003413420816)	(48, 0.17536263089276025)	(50, 0.16648816961513488)	(52, 0.1691902449064868)	(54, 0.16980351627424256)	(56, 0.17112205320636092)	(58, 0.17228876622425962)	(60, 0.1703787297978753)	(62, 0.17209857743263182)	(64, 0.17072848524261375)	(66, 0.17709546439131257)	(68, 0.16908676018118152)	(70, 0.16506676212145815)	(72, 0.16754278033137485)	(74, 0.17437300748364054)	(76, 0.2248571493100255)
SRR18396495_1	(1, 0.011309554620363253)	(2, 0.010704034424799762)	(3, 0.000703184743235021)	(4, 0.0018165605866904708)	(5, 0.004473036283356106)	(6, 0.0005273885574262657)	(7, 0.0003125265525488982)	(8, 0.0003125265525488982)	(9, 0.0003125265525488982)	(10, 0.0004004246454532758)	(12, 0.0003125265525488982)	(14, 0.0003125265525488982)	(16, 0.0003125265525488982)	(18, 0.0003125265525488982)	(20, 0.0004004246454532758)	(22, 0.00047855628359050036)	(24, 0.00041019110022042887)	(26, 0.0006348195598649494)	(28, 0.0018751593152933892)	(30, 0.0021779194130751344)	(32, 0.0028029725181729307)	(34, 0.0034573249875721863)	(36, 0.005488767949345509)	(38, 0.005303206173908636)	(40, 0.0030959791629859186)	(42, 0.002285361352254172)	(44, 0.00041019330359431884)	(46, 0.0009180529347368865)	(48, 0.0011915212131795529)	(50, 0.002617459470398096)	(52, 0.004258291973695866)	(54, 0.006162852648732537)	(56, 0.006543860862281616)	(58, 0.009425271369678483)	(60, 0.011710949161197162)	(62, 0.016975658488039242)	(64, 0.014387416899969752)	(66, 0.014143590457882136)	(68, 0.016722956868837315)	(70, 0.018874641508814613)	(72, 0.019466139649850608)	(74, 0.0202724077851794)	(76, 0.0302170460389294)
SRR18396495_2	(1, 0.4585545842273709)	(2, 0.41069895586832084)	(3, 0.3829426914200718)	(4, 0.351690036165182)	(5, 0.32352358061671255)	(6, 0.2960798427210124)	(7, 0.2911184836992987)	(8, 0.2679524529916116)	(9, 0.2501189065867901)	(10, 0.2419541504014501)	(12, 0.23349640057309556)	(14, 0.22753886316513222)	(16, 0.2287010712824234)	(18, 0.2260445955857578)	(20, 0.21445181377714706)	(22, 0.21160977543990553)	(24, 0.20992017876518806)	(26, 0.20059321446255687)	(28, 0.1951337662477183)	(30, 0.1946552099641278)	(32, 0.19862039059959197)	(34, 0.19805393622309708)	(36, 0.16881934122550726)	(38, 0.16665168644706968)	(40, 0.17188950964985597)	(42, 0.1700538542951299)	(44, 0.17577961659878558)	(46, 0.17704032847961526)	(48, 0.17572176989123833)	(50, 0.16646993273008542)	(52, 0.16940165818030045)	(54, 0.17006644872394475)	(56, 0.17147383179971512)	(58, 0.1728518622804839)	(60, 0.17096679234583848)	(62, 0.17289171952617352)	(64, 0.1712116634965869)	(66, 0.17778008790715338)	(68, 0.16962556336674062)	(70, 0.1653467072543437)	(72, 0.16770008402149447)	(74, 0.1745701384216008)	(76, 0.22413219874140947)
SRR18396500_1	(1, 0.010785262140366347)	(2, 0.011041183614883515)	(3, 0.0008591649501647769)	(4, 0.001773170216297518)	(5, 0.0038388221177575134)	(6, 0.0004570026330663707)	(7, 0.0001828010532265483)	(8, 0.0001828010532265483)	(9, 0.0001828010532265483)	(10, 0.00026506152717849495)	(12, 0.0001828010532265483)	(14, 0.0001828010532265483)	(16, 0.0001828010532265483)	(18, 0.0001828010532265483)	(20, 0.00032904189580778686)	(22, 0.0003199018431464595)	(24, 0.0003381819484691143)	(26, 0.0005484031596796449)	(28, 0.002056511848798668)	(30, 0.002102212112105305)	(32, 0.003089337799528666)	(34, 0.0035646205379176914)	(36, 0.005703404850435063)	(38, 0.005721691269786792)	(40, 0.003336130198650558)	(42, 0.002723745651147044)	(44, 0.0004113042870245836)	(46, 0.000987132364030286)	(48, 0.0013436046884674295)	(50, 0.0025866862072681496)	(52, 0.004487902041986289)	(54, 0.005977840310496704)	(56, 0.006270403949294187)	(58, 0.009405747780257235)	(60, 0.012175533904474345)	(62, 0.017513900058519827)	(64, 0.014844908187350785)	(66, 0.014470541797926884)	(68, 0.016674283145234194)	(70, 0.019182080827875935)	(72, 0.020344838593333275)	(74, 0.021453469690587958)	(76, 0.031451119718104784)
SRR18396500_2	(1, 0.46148125887042113)	(2, 0.4134045818718389)	(3, 0.38651454694221365)	(4, 0.3541770406264373)	(5, 0.3245084296877685)	(6, 0.2948580988544224)	(7, 0.2895934285214978)	(8, 0.26855302729512204)	(9, 0.25036432249908047)	(10, 0.24211085494590187)	(12, 0.23355576565489938)	(14, 0.22761473142503658)	(16, 0.22834593563794275)	(18, 0.22602436226196562)	(20, 0.21399605295965873)	(22, 0.21172931989964952)	(24, 0.20957226747157628)	(26, 0.200185433388393)	(28, 0.19442720021175675)	(30, 0.1937142761041732)	(32, 0.1980558011183037)	(34, 0.19723319637878425)	(36, 0.16766490279312285)	(38, 0.16591069988696386)	(40, 0.17164436545575085)	(42, 0.17007297201169966)	(44, 0.1750295876166498)	(46, 0.17701408148846898)	(48, 0.17460997113728355)	(50, 0.16582352923965488)	(52, 0.16881392468464995)	(54, 0.16950931629200405)	(56, 0.1709088801116083)	(58, 0.1720340403385308)	(60, 0.17011447547549075)	(62, 0.1716052552463589)	(64, 0.17039865568298168)	(66, 0.17737801661038738)	(68, 0.1688236803397724)	(70, 0.16436156874809213)	(72, 0.1667759525361581)	(74, 0.17392824928221798)	(76, 0.2236679286336271)
