Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
SRR18396491_1	(1, 31.629070987058938)	(2, 31.65025540487831)	(3, 31.7167676066408)	(4, 31.75827610878209)	(5, 31.766572119405055)	(6, 35.467601549922925)	(7, 35.460575888152405)	(8, 35.48292771426796)	(9, 35.47908672136699)	(10, 35.40392426869157)	(12, 35.408312905351835)	(14, 35.36997041800354)	(16, 35.33034192236061)	(18, 35.32187746355467)	(20, 35.306671022195985)	(22, 35.290849620193015)	(24, 35.257878009576345)	(26, 35.205625258443185)	(28, 35.16200110951203)	(30, 35.12874201399642)	(32, 35.100110876337325)	(34, 35.06261462274969)	(36, 35.016840936446506)	(38, 34.976241867218334)	(40, 34.96243530476185)	(42, 34.90189672691079)	(44, 34.86255044972065)	(46, 34.86232563491683)	(48, 34.81431205340324)	(50, 34.79045819057578)	(52, 34.723523120097255)	(54, 34.68498157439787)	(56, 34.61658813204982)	(58, 34.55874431229567)	(60, 34.52742560844324)	(62, 34.45055254513512)	(64, 34.447524361353814)	(66, 34.4106283846271)	(68, 34.37643388595687)	(70, 34.31396244091102)	(72, 34.271645305071516)	(74, 34.183823834773264)	(76, 33.2687138556118)
SRR18396491_2	(1, 31.104815446922977)	(2, 31.07244494676663)	(3, 31.080056808213882)	(4, 31.09102403268943)	(5, 31.111376066932074)	(6, 34.68377210133743)	(7, 34.71372143961058)	(8, 34.6443341393059)	(9, 34.64751019860166)	(10, 34.56443673298368)	(12, 34.559635023945845)	(14, 34.51598223882359)	(16, 34.47113078890897)	(18, 34.43585518147859)	(20, 34.36458930960451)	(22, 34.34414961991851)	(24, 34.28835515215613)	(26, 34.243321902980334)	(28, 34.23057624002194)	(30, 34.20459678870384)	(32, 34.1487515369337)	(34, 34.11220913677917)	(36, 34.10182673752763)	(38, 34.06992286576967)	(40, 34.066956618590325)	(42, 34.03911401247163)	(44, 34.00372617219948)	(46, 33.97368794312968)	(48, 33.92122518158223)	(50, 33.91200404726481)	(52, 33.85012509587372)	(54, 33.78519148792509)	(56, 33.73716248188576)	(58, 33.718663993845695)	(60, 33.722597150925495)	(62, 33.699539062144815)	(64, 33.678250672661015)	(66, 33.61482214151569)	(68, 33.532881757458924)	(70, 33.47105881878237)	(72, 33.44788592736241)	(74, 33.36094729582953)	(76, 32.148974526431054)
SRR18396493_1	(1, 31.63272266469497)	(2, 31.64036361257353)	(3, 31.709427779504075)	(4, 31.754056681793507)	(5, 31.759271263122674)	(6, 35.43945840980383)	(7, 35.439242899431555)	(8, 35.45186732731516)	(9, 35.45844295926923)	(10, 35.39988048252614)	(12, 35.42188523618763)	(14, 35.39245435428148)	(16, 35.364198517024185)	(18, 35.35669196709756)	(20, 35.342180787348994)	(22, 35.3298559425653)	(24, 35.29744309376586)	(26, 35.252080380632364)	(28, 35.21141375100243)	(30, 35.17834632891797)	(32, 35.150065921109984)	(34, 35.11157748559983)	(36, 35.07303949706515)	(38, 35.028097320540326)	(40, 35.013859770429775)	(42, 34.97815253846911)	(44, 34.932341513610965)	(46, 34.92259853899977)	(48, 34.87424900079933)	(50, 34.84731156170862)	(52, 34.79083610094571)	(54, 34.74799046849254)	(56, 34.684645970849225)	(58, 34.61967015911523)	(60, 34.58863350375067)	(62, 34.511383827204476)	(64, 34.50314157057308)	(66, 34.47286061792836)	(68, 34.435366609792155)	(70, 34.37297431138795)	(72, 34.335691093723774)	(74, 34.24423206955402)	(76, 33.359581468296746)
SRR18396493_2	(1, 31.13766198678262)	(2, 31.11003373467535)	(3, 31.12077224944773)	(4, 31.14897045938937)	(5, 31.189092787181632)	(6, 34.80226854269893)	(7, 34.8228532369431)	(8, 34.76358748985972)	(9, 34.77745810844454)	(10, 34.71442063381561)	(12, 34.71020056772774)	(14, 34.67264995757387)	(16, 34.639910685554874)	(18, 34.60738095395509)	(20, 34.54514172619269)	(22, 34.5307658818267)	(24, 34.480517674860174)	(26, 34.44425830141711)	(28, 34.43518116044639)	(30, 34.413605503329705)	(32, 34.36154701910375)	(34, 34.32705919223278)	(36, 34.32073122601243)	(38, 34.29413423296114)	(40, 34.291840046383086)	(42, 34.265960745130556)	(44, 34.233175104404665)	(46, 34.206311904671026)	(48, 34.158500436017036)	(50, 34.15089037584989)	(52, 34.09236547677195)	(54, 34.02812427283249)	(56, 33.989689256544914)	(58, 33.97305978288598)	(60, 33.975597493659635)	(62, 33.95346044078012)	(64, 33.93455755432352)	(66, 33.876222276883276)	(68, 33.80249232411408)	(70, 33.7415094625987)	(72, 33.72147941377311)	(74, 33.64045925056318)	(76, 32.47018783188573)
SRR18396494_1	(1, 31.632774518496582)	(2, 31.660239771333217)	(3, 31.724884716201036)	(4, 31.76483448622621)	(5, 31.769930723680737)	(6, 35.45986179511961)	(7, 35.46045074460418)	(8, 35.47461661970395)	(9, 35.47685860588768)	(10, 35.41690497100501)	(12, 35.4397074985217)	(14, 35.410823287096875)	(16, 35.38227893021693)	(18, 35.373187228371584)	(20, 35.35937378770393)	(22, 35.34636644776785)	(24, 35.31821121116914)	(26, 35.271044801127786)	(28, 35.23301711931647)	(30, 35.202131454420694)	(32, 35.17433635825833)	(34, 35.13842499548507)	(36, 35.10005004153232)	(38, 35.05857222778185)	(40, 35.043524020777355)	(42, 35.00074893428017)	(44, 34.95485128325372)	(46, 34.95399514053044)	(48, 34.90716988773337)	(50, 34.87993792885611)	(52, 34.82304863607028)	(54, 34.78340284156006)	(56, 34.72315913084577)	(58, 34.661607875162936)	(60, 34.63024196805222)	(62, 34.560410998255605)	(64, 34.553128222553156)	(66, 34.51926840406007)	(68, 34.48409973072888)	(70, 34.42318098655893)	(72, 34.38367621318167)	(74, 34.29361705483102)	(76, 33.41303730026202)
SRR18396494_2	(1, 31.14973951729853)	(2, 31.107372564754474)	(3, 31.103527597967354)	(4, 31.124300745980726)	(5, 31.15477950750861)	(6, 34.74995228205082)	(7, 34.76904222798102)	(8, 34.70470209839105)	(9, 34.7142350183752)	(10, 34.64118598434588)	(12, 34.63444316479402)	(14, 34.59210446759875)	(16, 34.55308514818515)	(18, 34.51755289447398)	(20, 34.448282766358034)	(22, 34.43346747927909)	(24, 34.37643692279888)	(26, 34.33193949061073)	(28, 34.320127898593725)	(30, 34.296220712079574)	(32, 34.24418489773342)	(34, 34.20890443935657)	(36, 34.19903716397616)	(38, 34.169900985046596)	(40, 34.16988259749411)	(42, 34.140143458934716)	(44, 34.11203080717728)	(46, 34.079029963447276)	(48, 34.03048044840138)	(50, 34.02001330765182)	(52, 33.96318972166024)	(54, 33.89867903658653)	(56, 33.85874635344892)	(58, 33.83998096053065)	(60, 33.84581571370214)	(62, 33.8294982070812)	(64, 33.81252717203894)	(66, 33.75604872065584)	(68, 33.673925837133694)	(70, 33.61161012477048)	(72, 33.590868823213384)	(74, 33.50920892472476)	(76, 32.32768344738803)
SRR18396495_1	(1, 31.63602259176317)	(2, 31.649246762176084)	(3, 31.71605224271984)	(4, 31.757820244493427)	(5, 31.76377250801582)	(6, 35.44977356474622)	(7, 35.45220443533777)	(8, 35.4659899815707)	(9, 35.469810423346516)	(10, 35.4092379918997)	(12, 35.430797440798194)	(14, 35.39600805927847)	(16, 35.36715394764985)	(18, 35.35623807882115)	(20, 35.34249452834372)	(22, 35.32901525813229)	(24, 35.29990946496431)	(26, 35.2506280318738)	(28, 35.21264589862615)	(30, 35.17991245349947)	(32, 35.15270555213187)	(34, 35.11333570332636)	(36, 35.07110317985227)	(38, 35.03122943760656)	(40, 35.01220313826427)	(42, 34.974068180345434)	(44, 34.92020011414429)	(46, 34.9079863850273)	(48, 34.856128969151285)	(50, 34.8370235945208)	(52, 34.775179753698595)	(54, 34.731946834908335)	(56, 34.66597216326333)	(58, 34.60888424964084)	(60, 34.57908231474088)	(62, 34.49858626019064)	(64, 34.50077517945705)	(66, 34.466618356026444)	(68, 34.44091394902475)	(70, 34.382122277290335)	(72, 34.3395702949492)	(74, 34.257493116755406)	(76, 33.35140936685144)
SRR18396495_2	(1, 31.11099087520131)	(2, 31.070974975412952)	(3, 31.069837769419863)	(4, 31.085989336984685)	(5, 31.108411163839115)	(6, 34.67722120922383)	(7, 34.6993437919042)	(8, 34.628783304831565)	(9, 34.6408364773179)	(10, 34.558515323079206)	(12, 34.544357967913285)	(14, 34.4930016515075)	(16, 34.44586161128924)	(18, 34.40343701076166)	(20, 34.33480530084098)	(22, 34.31080853549081)	(24, 34.251643352511394)	(26, 34.20335204260518)	(28, 34.18460396537596)	(30, 34.16221446548681)	(32, 34.10291577507073)	(34, 34.064487510169315)	(36, 34.051395508106545)	(38, 34.0202541667617)	(40, 34.017969941393815)	(42, 33.987191242459524)	(44, 33.95223154407445)	(46, 33.916700768833664)	(48, 33.86856116395771)	(50, 33.86185594483068)	(52, 33.799779114999396)	(54, 33.73469643066227)	(56, 33.69303330379646)	(58, 33.67396212697072)	(60, 33.672096357724655)	(62, 33.646708236451516)	(64, 33.62686418143009)	(66, 33.57197675821205)	(68, 33.496753441727954)	(70, 33.43476246973136)	(72, 33.41161856137839)	(74, 33.31965571216099)	(76, 32.10811167354089)
SRR18396500_1	(1, 31.632137010120598)	(2, 31.65395340181792)	(3, 31.721965082074018)	(4, 31.763845900174537)	(5, 31.76868592366082)	(6, 35.45685218779956)	(7, 35.459096984733186)	(8, 35.471535499598936)	(9, 35.47492627633523)	(10, 35.41874785665765)	(12, 35.43951890053209)	(14, 35.41044421021536)	(16, 35.38283293373023)	(18, 35.3744079073886)	(20, 35.36187351337044)	(22, 35.346899547896435)	(24, 35.31843267108168)	(26, 35.271737147440746)	(28, 35.23303661066373)	(30, 35.20100429070632)	(32, 35.173233428901725)	(34, 35.137528544384466)	(36, 35.09592222002685)	(38, 35.05426914395716)	(40, 35.036413541215374)	(42, 34.990729393575236)	(44, 34.93378741287921)	(46, 34.934900171140725)	(48, 34.87901477625567)	(50, 34.86322718591089)	(52, 34.80234154150493)	(54, 34.76097775540872)	(56, 34.6822187096278)	(58, 34.63119978065495)	(60, 34.599729520589)	(62, 34.512747707357846)	(64, 34.526597234719375)	(66, 34.48563026128363)	(68, 34.468778267569284)	(70, 34.40965364568227)	(72, 34.36853127122892)	(74, 34.26899748119958)	(76, 33.367910741620946)
SRR18396500_2	(1, 31.142959015272663)	(2, 31.10803414284952)	(3, 31.10601748163032)	(4, 31.12851791486882)	(5, 31.16295141806089)	(6, 34.77221252157966)	(7, 34.78078479416967)	(8, 34.71633316442516)	(9, 34.726390147169475)	(10, 34.658314212343164)	(12, 34.64556767770273)	(14, 34.60879752004779)	(16, 34.568677624493)	(18, 34.53602286694935)	(20, 34.46417492379024)	(22, 34.45633540922209)	(24, 34.39369680032348)	(26, 34.352070898291686)	(28, 34.33765173401423)	(30, 34.31283786204662)	(32, 34.2609594715441)	(34, 34.226655939900866)	(36, 34.21749979704608)	(38, 34.18794273578533)	(40, 34.18543571070587)	(42, 34.1615780882687)	(44, 34.13267274659735)	(46, 34.102303529241034)	(48, 34.05092498656745)	(50, 34.0393657184123)	(52, 33.98203372597406)	(54, 33.918383161752004)	(56, 33.87613905935763)	(58, 33.858366924316925)	(60, 33.86663994066059)	(62, 33.856516406332645)	(64, 33.84015743767904)	(66, 33.78287601060843)	(68, 33.69912382112696)	(70, 33.63062383977601)	(72, 33.60738441240059)	(74, 33.5267315785879)	(76, 32.350108803640794)
