Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR18396491_1	(0.0, 318.0)	(1.0, 315.5)	(2.0, 345.5)	(3.0, 469.5)	(4.0, 561.0)	(5.0, 625.0)	(6.0, 832.5)	(7.0, 1196.0)	(8.0, 1420.5)	(9.0, 1684.5)	(10.0, 2196.0)	(11.0, 2895.0)	(12.0, 3342.0)	(13.0, 4070.0)	(14.0, 5345.5)	(15.0, 6411.0)	(16.0, 7955.0)	(17.0, 9229.5)	(18.0, 11492.0)	(19.0, 14049.0)	(20.0, 15563.5)	(21.0, 17050.0)	(22.0, 21285.5)	(23.0, 25801.0)	(24.0, 30574.0)	(25.0, 35918.5)	(26.0, 47353.0)	(27.0, 68703.5)	(28.0, 90783.0)	(29.0, 104600.5)	(30.0, 131808.5)	(31.0, 179663.5)	(32.0, 229061.0)	(33.0, 265231.0)	(34.0, 313581.0)	(35.0, 388476.5)	(36.0, 454941.5)	(37.0, 489259.0)	(38.0, 510910.0)	(39.0, 553371.0)	(40.0, 590075.0)	(41.0, 600476.0)	(42.0, 599393.5)	(43.0, 600107.5)	(44.0, 581897.5)	(45.0, 546945.5)	(46.0, 521417.5)	(47.0, 467285.0)	(48.0, 390127.0)	(49.0, 319757.0)	(50.0, 274356.5)	(51.0, 241514.0)	(52.0, 192086.0)	(53.0, 136377.5)	(54.0, 104896.0)	(55.0, 87909.0)	(56.0, 61659.5)	(57.0, 40950.0)	(58.0, 26976.5)	(59.0, 19413.0)	(60.0, 12369.0)	(61.0, 8401.0)	(62.0, 6353.0)	(63.0, 4933.0)	(64.0, 3268.5)	(65.0, 2142.0)	(66.0, 1436.0)	(67.0, 1287.5)	(68.0, 1303.0)	(69.0, 1220.0)	(70.0, 769.0)	(71.0, 250.5)	(72.0, 174.5)	(73.0, 137.0)	(74.0, 83.5)	(75.0, 49.5)	(76.0, 39.5)	(77.0, 40.0)	(78.0, 36.0)	(79.0, 24.5)	(80.0, 26.0)	(81.0, 28.5)	(82.0, 28.5)	(83.0, 27.5)	(84.0, 32.0)	(85.0, 37.5)	(86.0, 41.0)	(87.0, 45.5)	(88.0, 56.5)	(89.0, 73.5)	(90.0, 94.5)	(91.0, 118.5)	(92.0, 129.5)	(93.0, 177.0)	(94.0, 218.5)	(95.0, 290.5)	(96.0, 368.0)	(97.0, 590.5)	(98.0, 1490.5)	(99.0, 19180.5)	(100.0, 36193.0)
SRR18396491_2	(0.0, 15377.0)	(1.0, 7879.5)	(2.0, 364.0)	(3.0, 370.0)	(4.0, 401.0)	(5.0, 442.0)	(6.0, 552.5)	(7.0, 690.5)	(8.0, 752.0)	(9.0, 853.0)	(10.0, 1073.0)	(11.0, 1389.5)	(12.0, 1588.0)	(13.0, 1706.0)	(14.0, 2169.5)	(15.0, 2776.5)	(16.0, 3559.5)	(17.0, 4228.0)	(18.0, 5090.0)	(19.0, 6913.0)	(20.0, 9387.5)	(21.0, 11326.5)	(22.0, 15076.5)	(23.0, 21033.5)	(24.0, 28637.0)	(25.0, 34791.0)	(26.0, 46077.5)	(27.0, 68159.5)	(28.0, 92355.5)	(29.0, 109175.5)	(30.0, 135610.5)	(31.0, 183819.0)	(32.0, 236376.0)	(33.0, 271223.0)	(34.0, 318427.5)	(35.0, 392083.0)	(36.0, 452597.5)	(37.0, 487839.5)	(38.0, 518470.5)	(39.0, 560426.0)	(40.0, 589797.0)	(41.0, 596831.5)	(42.0, 597221.0)	(43.0, 589827.5)	(44.0, 561907.0)	(45.0, 515641.0)	(46.0, 480826.0)	(47.0, 436074.5)	(48.0, 377585.0)	(49.0, 312656.0)	(50.0, 259445.0)	(51.0, 219055.5)	(52.0, 169765.0)	(53.0, 130488.0)	(54.0, 105192.0)	(55.0, 85204.0)	(56.0, 61509.0)	(57.0, 44638.5)	(58.0, 33655.5)	(59.0, 25973.0)	(60.0, 18480.0)	(61.0, 14795.5)	(62.0, 12981.0)	(63.0, 11389.0)	(64.0, 9423.0)	(65.0, 8008.0)	(66.0, 7009.5)	(67.0, 6556.5)	(68.0, 6303.5)	(69.0, 6137.5)	(70.0, 5971.0)	(71.0, 5799.5)	(72.0, 5663.5)	(73.0, 5499.0)	(74.0, 5358.5)	(75.0, 5287.5)	(76.0, 5227.0)	(77.0, 5067.0)	(78.0, 4891.5)	(79.0, 4831.0)	(80.0, 4753.0)	(81.0, 4559.5)	(82.0, 4378.5)	(83.0, 4303.0)	(84.0, 4217.5)	(85.0, 4069.5)	(86.0, 3966.5)	(87.0, 3929.5)	(88.0, 3912.0)	(89.0, 3928.5)	(90.0, 3960.0)	(91.0, 4020.0)	(92.0, 4084.5)	(93.0, 4152.0)	(94.0, 4369.5)	(95.0, 4815.5)	(96.0, 5111.0)	(97.0, 5594.5)	(98.0, 7322.0)	(99.0, 27788.0)	(100.0, 47010.0)
SRR18396493_1	(0.0, 109.0)	(1.0, 77.0)	(2.0, 57.5)	(3.0, 79.0)	(4.0, 88.0)	(5.0, 119.0)	(6.0, 176.0)	(7.0, 249.5)	(8.0, 298.0)	(9.0, 402.0)	(10.0, 602.0)	(11.0, 833.5)	(12.0, 968.5)	(13.0, 1207.0)	(14.0, 1795.5)	(15.0, 2394.0)	(16.0, 3263.5)	(17.0, 4112.5)	(18.0, 5829.5)	(19.0, 8381.5)	(20.0, 11165.0)	(21.0, 13515.0)	(22.0, 18437.5)	(23.0, 25553.0)	(24.0, 33330.0)	(25.0, 40028.5)	(26.0, 52617.0)	(27.0, 79641.5)	(28.0, 108724.5)	(29.0, 125963.5)	(30.0, 160562.5)	(31.0, 219730.0)	(32.0, 283160.0)	(33.0, 330780.5)	(34.0, 389739.5)	(35.0, 486250.5)	(36.0, 572009.5)	(37.0, 614767.0)	(38.0, 646997.5)	(39.0, 703650.5)	(40.0, 749463.5)	(41.0, 765038.5)	(42.0, 766964.0)	(43.0, 773479.5)	(44.0, 759831.5)	(45.0, 705143.5)	(46.0, 658389.5)	(47.0, 596377.0)	(48.0, 507191.5)	(49.0, 420551.5)	(50.0, 363080.0)	(51.0, 313183.0)	(52.0, 248976.5)	(53.0, 182502.0)	(54.0, 138927.0)	(55.0, 113234.5)	(56.0, 77465.0)	(57.0, 52712.5)	(58.0, 35912.5)	(59.0, 26069.0)	(60.0, 16577.0)	(61.0, 10853.0)	(62.0, 7823.0)	(63.0, 6072.0)	(64.0, 4106.5)	(65.0, 2738.5)	(66.0, 1830.5)	(67.0, 1506.0)	(68.0, 1471.5)	(69.0, 1661.5)	(70.0, 1167.0)	(71.0, 315.5)	(72.0, 201.5)	(73.0, 145.5)	(74.0, 96.5)	(75.0, 63.0)	(76.0, 56.5)	(77.0, 41.5)	(78.0, 30.0)	(79.0, 27.0)	(80.0, 32.5)	(81.0, 30.5)	(82.0, 29.5)	(83.0, 38.5)	(84.0, 39.5)	(85.0, 44.0)	(86.0, 51.5)	(87.0, 54.5)	(88.0, 61.5)	(89.0, 77.0)	(90.0, 93.5)	(91.0, 115.0)	(92.0, 127.5)	(93.0, 164.5)	(94.0, 224.5)	(95.0, 338.0)	(96.0, 429.5)	(97.0, 659.5)	(98.0, 1808.5)	(99.0, 24049.5)	(100.0, 45371.0)
SRR18396493_2	(0.0, 19081.0)	(1.0, 9686.5)	(2.0, 282.0)	(3.0, 277.5)	(4.0, 283.5)	(5.0, 334.5)	(6.0, 444.0)	(7.0, 561.0)	(8.0, 621.0)	(9.0, 720.5)	(10.0, 931.5)	(11.0, 1210.5)	(12.0, 1376.0)	(13.0, 1541.0)	(14.0, 2033.0)	(15.0, 2652.0)	(16.0, 3443.0)	(17.0, 4137.0)	(18.0, 5358.5)	(19.0, 7828.0)	(20.0, 11023.5)	(21.0, 13449.5)	(22.0, 18112.5)	(23.0, 25711.0)	(24.0, 35376.5)	(25.0, 43511.5)	(26.0, 57390.0)	(27.0, 84927.0)	(28.0, 116721.5)	(29.0, 138588.0)	(30.0, 173727.0)	(31.0, 237377.5)	(32.0, 304409.0)	(33.0, 349209.5)	(34.0, 406824.0)	(35.0, 499441.5)	(36.0, 578289.0)	(37.0, 622177.0)	(38.0, 660660.0)	(39.0, 712694.0)	(40.0, 750230.5)	(41.0, 761225.0)	(42.0, 762640.0)	(43.0, 756042.0)	(44.0, 723953.0)	(45.0, 663309.5)	(46.0, 616010.0)	(47.0, 559446.0)	(48.0, 483765.0)	(49.0, 399662.5)	(50.0, 331678.5)	(51.0, 279206.0)	(52.0, 216363.0)	(53.0, 163751.5)	(54.0, 129080.5)	(55.0, 103934.0)	(56.0, 73310.0)	(57.0, 52611.5)	(58.0, 39577.0)	(59.0, 30160.5)	(60.0, 20886.0)	(61.0, 15769.5)	(62.0, 13264.5)	(63.0, 11736.0)	(64.0, 9651.0)	(65.0, 8122.0)	(66.0, 7073.5)	(67.0, 6552.5)	(68.0, 6325.5)	(69.0, 6052.0)	(70.0, 5627.0)	(71.0, 5306.5)	(72.0, 5294.0)	(73.0, 5199.5)	(74.0, 5090.5)	(75.0, 5082.0)	(76.0, 4990.5)	(77.0, 4819.5)	(78.0, 4600.0)	(79.0, 4463.0)	(80.0, 4367.5)	(81.0, 4193.0)	(82.0, 4039.0)	(83.0, 3960.0)	(84.0, 3900.0)	(85.0, 3799.0)	(86.0, 3664.0)	(87.0, 3565.0)	(88.0, 3507.5)	(89.0, 3509.5)	(90.0, 3602.5)	(91.0, 3651.5)	(92.0, 3655.5)	(93.0, 3798.5)	(94.0, 4031.5)	(95.0, 4387.5)	(96.0, 4653.0)	(97.0, 5064.5)	(98.0, 6574.5)	(99.0, 23681.0)	(100.0, 39689.0)
SRR18396494_1	(0.0, 109.0)	(1.0, 85.0)	(2.0, 68.5)	(3.0, 94.5)	(4.0, 113.0)	(5.0, 129.5)	(6.0, 196.0)	(7.0, 284.0)	(8.0, 322.5)	(9.0, 398.0)	(10.0, 545.0)	(11.0, 744.0)	(12.0, 870.0)	(13.0, 1115.5)	(14.0, 1590.5)	(15.0, 2013.0)	(16.0, 2767.5)	(17.0, 3479.0)	(18.0, 4545.5)	(19.0, 6270.5)	(20.0, 7986.5)	(21.0, 9280.5)	(22.0, 12633.5)	(23.0, 17251.0)	(24.0, 22452.0)	(25.0, 27365.5)	(26.0, 37084.5)	(27.0, 57155.5)	(28.0, 76929.0)	(29.0, 88710.5)	(30.0, 114538.0)	(31.0, 159652.0)	(32.0, 208103.5)	(33.0, 243411.5)	(34.0, 287593.0)	(35.0, 358778.0)	(36.0, 421785.0)	(37.0, 454345.0)	(38.0, 480988.5)	(39.0, 524962.0)	(40.0, 560516.5)	(41.0, 570101.5)	(42.0, 568806.5)	(43.0, 579118.5)	(44.0, 574652.0)	(45.0, 532229.0)	(46.0, 496161.5)	(47.0, 451147.5)	(48.0, 381198.5)	(49.0, 314483.5)	(50.0, 272919.0)	(51.0, 238798.5)	(52.0, 192704.5)	(53.0, 140610.0)	(54.0, 108079.5)	(55.0, 93930.0)	(56.0, 70577.5)	(57.0, 47511.0)	(58.0, 30304.5)	(59.0, 21386.0)	(60.0, 12907.5)	(61.0, 8533.0)	(62.0, 6407.5)	(63.0, 5048.5)	(64.0, 3486.0)	(65.0, 2447.0)	(66.0, 1659.0)	(67.0, 1499.5)	(68.0, 1579.0)	(69.0, 1685.5)	(70.0, 1133.0)	(71.0, 331.5)	(72.0, 216.5)	(73.0, 178.5)	(74.0, 123.5)	(75.0, 66.5)	(76.0, 48.0)	(77.0, 38.5)	(78.0, 33.5)	(79.0, 23.0)	(80.0, 20.5)	(81.0, 22.0)	(82.0, 29.5)	(83.0, 31.5)	(84.0, 30.5)	(85.0, 35.0)	(86.0, 42.5)	(87.0, 45.5)	(88.0, 47.5)	(89.0, 47.0)	(90.0, 48.5)	(91.0, 72.5)	(92.0, 92.0)	(93.0, 120.0)	(94.0, 186.0)	(95.0, 276.5)	(96.0, 329.5)	(97.0, 500.5)	(98.0, 1315.5)	(99.0, 18331.0)	(100.0, 34702.0)
SRR18396494_2	(0.0, 14549.0)	(1.0, 7393.5)	(2.0, 230.0)	(3.0, 233.0)	(4.0, 244.5)	(5.0, 262.0)	(6.0, 337.0)	(7.0, 439.0)	(8.0, 481.5)	(9.0, 563.0)	(10.0, 735.5)	(11.0, 975.5)	(12.0, 1124.0)	(13.0, 1213.0)	(14.0, 1527.0)	(15.0, 1988.0)	(16.0, 2530.5)	(17.0, 2983.0)	(18.0, 3714.0)	(19.0, 5351.0)	(20.0, 7384.5)	(21.0, 8781.0)	(22.0, 11799.5)	(23.0, 16894.5)	(24.0, 23649.0)	(25.0, 29318.5)	(26.0, 38841.0)	(27.0, 58059.0)	(28.0, 80809.5)	(29.0, 96744.5)	(30.0, 122470.0)	(31.0, 170106.5)	(32.0, 220357.0)	(33.0, 252743.0)	(34.0, 296308.0)	(35.0, 365593.5)	(36.0, 424199.5)	(37.0, 458068.5)	(38.0, 489287.0)	(39.0, 529781.0)	(40.0, 556359.0)	(41.0, 565563.5)	(42.0, 568700.5)	(43.0, 565790.5)	(44.0, 543853.0)	(45.0, 498227.0)	(46.0, 462527.5)	(47.0, 421291.0)	(48.0, 366565.5)	(49.0, 304077.5)	(50.0, 252852.5)	(51.0, 213500.0)	(52.0, 165080.0)	(53.0, 125656.0)	(54.0, 100881.5)	(55.0, 82939.0)	(56.0, 61122.0)	(57.0, 44735.5)	(58.0, 33498.0)	(59.0, 25707.0)	(60.0, 18101.5)	(61.0, 14265.5)	(62.0, 12547.5)	(63.0, 10947.0)	(64.0, 8906.5)	(65.0, 7546.0)	(66.0, 6733.5)	(67.0, 6433.0)	(68.0, 6065.0)	(69.0, 5834.5)	(70.0, 5532.0)	(71.0, 5215.0)	(72.0, 5108.0)	(73.0, 5040.5)	(74.0, 5005.0)	(75.0, 4967.5)	(76.0, 4925.0)	(77.0, 4706.5)	(78.0, 4525.5)	(79.0, 4501.0)	(80.0, 4411.5)	(81.0, 4316.5)	(82.0, 4142.5)	(83.0, 3992.0)	(84.0, 3884.0)	(85.0, 3701.5)	(86.0, 3624.0)	(87.0, 3607.0)	(88.0, 3544.5)	(89.0, 3537.5)	(90.0, 3558.0)	(91.0, 3549.0)	(92.0, 3560.5)	(93.0, 3700.0)	(94.0, 3992.5)	(95.0, 4330.5)	(96.0, 4517.0)	(97.0, 4948.0)	(98.0, 6490.5)	(99.0, 24169.5)	(100.0, 40737.0)
SRR18396495_1	(0.0, 63.0)	(1.0, 56.5)	(2.0, 58.5)	(3.0, 77.0)	(4.0, 87.0)	(5.0, 114.0)	(6.0, 175.5)	(7.0, 260.5)	(8.0, 311.5)	(9.0, 373.0)	(10.0, 496.5)	(11.0, 666.5)	(12.0, 774.0)	(13.0, 963.0)	(14.0, 1319.0)	(15.0, 1656.5)	(16.0, 2243.0)	(17.0, 2726.0)	(18.0, 3488.5)	(19.0, 4752.0)	(20.0, 6030.0)	(21.0, 7070.0)	(22.0, 9459.0)	(23.0, 12595.5)	(24.0, 16137.5)	(25.0, 19407.5)	(26.0, 25677.0)	(27.0, 39604.0)	(28.0, 53703.0)	(29.0, 62102.0)	(30.0, 79379.5)	(31.0, 109025.0)	(32.0, 141002.5)	(33.0, 164839.0)	(34.0, 194532.0)	(35.0, 242167.0)	(36.0, 284814.0)	(37.0, 306173.5)	(38.0, 322678.0)	(39.0, 351519.5)	(40.0, 375559.0)	(41.0, 382868.5)	(42.0, 382170.5)	(43.0, 388575.5)	(44.0, 381186.5)	(45.0, 354990.5)	(46.0, 336649.0)	(47.0, 304189.0)	(48.0, 256339.0)	(49.0, 212281.0)	(50.0, 183840.0)	(51.0, 159550.0)	(52.0, 128384.0)	(53.0, 94730.5)	(54.0, 73897.5)	(55.0, 64917.5)	(56.0, 49691.5)	(57.0, 33915.5)	(58.0, 21879.5)	(59.0, 15605.0)	(60.0, 9574.0)	(61.0, 6311.0)	(62.0, 4660.0)	(63.0, 3535.0)	(64.0, 2308.0)	(65.0, 1555.5)	(66.0, 1091.0)	(67.0, 949.0)	(68.0, 852.0)	(69.0, 794.0)	(70.0, 528.5)	(71.0, 148.0)	(72.0, 97.5)	(73.0, 90.0)	(74.0, 69.0)	(75.0, 42.0)	(76.0, 33.0)	(77.0, 20.0)	(78.0, 17.0)	(79.0, 17.5)	(80.0, 17.5)	(81.0, 14.5)	(82.0, 19.0)	(83.0, 25.5)	(84.0, 21.5)	(85.0, 17.0)	(86.0, 23.5)	(87.0, 31.0)	(88.0, 31.5)	(89.0, 33.0)	(90.0, 42.5)	(91.0, 64.0)	(92.0, 77.0)	(93.0, 94.0)	(94.0, 124.0)	(95.0, 169.5)	(96.0, 203.0)	(97.0, 340.0)	(98.0, 844.5)	(99.0, 11741.0)	(100.0, 22269.0)
SRR18396495_2	(0.0, 9814.0)	(1.0, 4988.5)	(2.0, 174.5)	(3.0, 182.5)	(4.0, 174.5)	(5.0, 201.5)	(6.0, 269.0)	(7.0, 342.0)	(8.0, 374.5)	(9.0, 427.0)	(10.0, 554.5)	(11.0, 684.0)	(12.0, 741.0)	(13.0, 848.5)	(14.0, 1146.5)	(15.0, 1481.0)	(16.0, 1900.0)	(17.0, 2252.5)	(18.0, 2807.5)	(19.0, 3972.5)	(20.0, 5431.0)	(21.0, 6517.5)	(22.0, 8759.5)	(23.0, 12432.0)	(24.0, 17048.0)	(25.0, 20812.5)	(26.0, 27472.5)	(27.0, 40888.5)	(28.0, 56481.5)	(29.0, 67427.0)	(30.0, 85000.0)	(31.0, 116326.0)	(32.0, 149514.0)	(33.0, 171868.0)	(34.0, 200327.0)	(35.0, 245878.0)	(36.0, 284424.5)	(37.0, 305543.5)	(38.0, 324978.0)	(39.0, 352230.5)	(40.0, 370769.0)	(41.0, 375920.5)	(42.0, 377302.0)	(43.0, 375881.0)	(44.0, 361380.5)	(45.0, 331409.0)	(46.0, 308454.0)	(47.0, 281074.0)	(48.0, 244229.0)	(49.0, 202760.0)	(50.0, 169454.5)	(51.0, 143460.0)	(52.0, 111485.0)	(53.0, 85802.5)	(54.0, 69773.0)	(55.0, 57601.0)	(56.0, 42830.0)	(57.0, 31896.5)	(58.0, 24070.0)	(59.0, 18451.0)	(60.0, 13177.0)	(61.0, 10541.0)	(62.0, 9192.0)	(63.0, 8040.0)	(64.0, 6578.0)	(65.0, 5635.5)	(66.0, 5057.5)	(67.0, 4807.0)	(68.0, 4607.5)	(69.0, 4442.5)	(70.0, 4213.5)	(71.0, 4035.5)	(72.0, 3979.0)	(73.0, 3885.5)	(74.0, 3831.0)	(75.0, 3844.5)	(76.0, 3697.5)	(77.0, 3586.5)	(78.0, 3550.0)	(79.0, 3482.0)	(80.0, 3420.5)	(81.0, 3321.5)	(82.0, 3203.5)	(83.0, 3126.0)	(84.0, 3081.5)	(85.0, 2980.5)	(86.0, 2937.5)	(87.0, 2935.0)	(88.0, 2916.0)	(89.0, 2909.5)	(90.0, 2921.0)	(91.0, 2962.5)	(92.0, 2997.5)	(93.0, 3054.5)	(94.0, 3234.5)	(95.0, 3514.0)	(96.0, 3671.0)	(97.0, 4045.0)	(98.0, 5464.0)	(99.0, 20521.0)	(100.0, 34533.0)
SRR18396500_1	(0.0, 50.0)	(1.0, 45.5)	(2.0, 49.0)	(3.0, 59.5)	(4.0, 62.0)	(5.0, 85.0)	(6.0, 128.5)	(7.0, 187.5)	(8.0, 226.5)	(9.0, 265.0)	(10.0, 344.5)	(11.0, 477.0)	(12.0, 567.5)	(13.0, 700.0)	(14.0, 987.0)	(15.0, 1289.5)	(16.0, 1797.0)	(17.0, 2215.5)	(18.0, 2934.5)	(19.0, 4192.0)	(20.0, 5662.0)	(21.0, 6814.5)	(22.0, 9362.5)	(23.0, 12841.5)	(24.0, 16687.0)	(25.0, 20234.0)	(26.0, 26821.5)	(27.0, 40654.5)	(28.0, 55447.5)	(29.0, 64374.0)	(30.0, 81980.5)	(31.0, 114151.0)	(32.0, 149135.0)	(33.0, 174123.5)	(34.0, 206311.0)	(35.0, 259034.5)	(36.0, 305226.5)	(37.0, 328449.0)	(38.0, 346579.0)	(39.0, 376642.5)	(40.0, 400849.0)	(41.0, 410161.0)	(42.0, 412200.0)	(43.0, 417571.5)	(44.0, 412468.0)	(45.0, 383971.5)	(46.0, 359039.5)	(47.0, 327116.5)	(48.0, 278697.0)	(49.0, 230908.0)	(50.0, 200728.0)	(51.0, 174314.0)	(52.0, 139434.0)	(53.0, 102252.0)	(54.0, 78306.5)	(55.0, 64887.0)	(56.0, 44997.5)	(57.0, 30606.0)	(58.0, 21037.5)	(59.0, 15154.5)	(60.0, 9375.0)	(61.0, 6174.0)	(62.0, 4652.0)	(63.0, 3651.0)	(64.0, 2454.5)	(65.0, 1610.5)	(66.0, 1037.5)	(67.0, 831.5)	(68.0, 859.5)	(69.0, 988.0)	(70.0, 692.0)	(71.0, 202.0)	(72.0, 127.5)	(73.0, 97.5)	(74.0, 58.5)	(75.0, 28.0)	(76.0, 27.0)	(77.0, 27.0)	(78.0, 23.5)	(79.0, 22.0)	(80.0, 23.0)	(81.0, 19.0)	(82.0, 18.5)	(83.0, 24.0)	(84.0, 24.5)	(85.0, 21.0)	(86.0, 21.5)	(87.0, 26.0)	(88.0, 26.5)	(89.0, 31.5)	(90.0, 45.0)	(91.0, 55.0)	(92.0, 57.0)	(93.0, 82.5)	(94.0, 126.0)	(95.0, 188.5)	(96.0, 233.0)	(97.0, 341.5)	(98.0, 910.5)	(99.0, 13075.0)	(100.0, 24779.0)
SRR18396500_2	(0.0, 10421.0)	(1.0, 5294.0)	(2.0, 165.0)	(3.0, 173.0)	(4.0, 193.0)	(5.0, 207.0)	(6.0, 258.0)	(7.0, 337.0)	(8.0, 367.5)	(9.0, 428.5)	(10.0, 549.5)	(11.0, 666.0)	(12.0, 724.0)	(13.0, 847.5)	(14.0, 1088.0)	(15.0, 1370.5)	(16.0, 1832.0)	(17.0, 2258.5)	(18.0, 2829.5)	(19.0, 3968.5)	(20.0, 5520.5)	(21.0, 6686.5)	(22.0, 8919.5)	(23.0, 12719.5)	(24.0, 17687.0)	(25.0, 21862.0)	(26.0, 29095.0)	(27.0, 42989.0)	(28.0, 59469.0)	(29.0, 71110.0)	(30.0, 89340.0)	(31.0, 122944.5)	(32.0, 158610.0)	(33.0, 182382.5)	(34.0, 213629.0)	(35.0, 263536.0)	(36.0, 305586.0)	(37.0, 329422.5)	(38.0, 350738.5)	(39.0, 379418.0)	(40.0, 400612.5)	(41.0, 407825.5)	(42.0, 409169.0)	(43.0, 406100.0)	(44.0, 390296.0)	(45.0, 359328.5)	(46.0, 334784.0)	(47.0, 305450.5)	(48.0, 265955.5)	(49.0, 220713.5)	(50.0, 183927.5)	(51.0, 155263.5)	(52.0, 120894.5)	(53.0, 92070.5)	(54.0, 73119.0)	(55.0, 59608.5)	(56.0, 42736.5)	(57.0, 30870.5)	(58.0, 23443.5)	(59.0, 18121.0)	(60.0, 12724.5)	(61.0, 9778.0)	(62.0, 8325.0)	(63.0, 7470.5)	(64.0, 6317.0)	(65.0, 5366.0)	(66.0, 4777.5)	(67.0, 4540.0)	(68.0, 4362.0)	(69.0, 4197.5)	(70.0, 3896.5)	(71.0, 3641.5)	(72.0, 3637.0)	(73.0, 3612.0)	(74.0, 3491.5)	(75.0, 3394.0)	(76.0, 3416.0)	(77.0, 3333.5)	(78.0, 3193.5)	(79.0, 3158.0)	(80.0, 3020.5)	(81.0, 2880.0)	(82.0, 2813.5)	(83.0, 2754.0)	(84.0, 2649.0)	(85.0, 2535.0)	(86.0, 2472.0)	(87.0, 2429.0)	(88.0, 2427.0)	(89.0, 2405.0)	(90.0, 2374.0)	(91.0, 2406.5)	(92.0, 2455.0)	(93.0, 2513.5)	(94.0, 2633.5)	(95.0, 2867.5)	(96.0, 3040.0)	(97.0, 3293.5)	(98.0, 4234.0)	(99.0, 16379.5)	(100.0, 27838.0)
