Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
SRR18396491_1	(2.0, 23.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 3.0)	(13.0, 3.0)	(14.0, 4.0)	(15.0, 16.0)	(16.0, 54.0)	(17.0, 105.0)	(18.0, 188.0)	(19.0, 418.0)	(20.0, 1120.0)	(21.0, 2626.0)	(22.0, 4835.0)	(23.0, 8162.0)	(24.0, 13319.0)	(25.0, 21734.0)	(26.0, 34984.0)	(27.0, 52727.0)	(28.0, 75147.0)	(29.0, 102640.0)	(30.0, 137943.0)	(31.0, 186763.0)	(32.0, 272513.0)	(33.0, 465457.0)	(34.0, 1154487.0)	(35.0, 5479063.0)
SRR18396491_2	(2.0, 15210.0)	(3.0, 73.0)	(4.0, 65.0)	(5.0, 73.0)	(6.0, 79.0)	(7.0, 64.0)	(8.0, 85.0)	(9.0, 98.0)	(10.0, 118.0)	(11.0, 104.0)	(12.0, 117.0)	(13.0, 129.0)	(14.0, 6072.0)	(15.0, 33085.0)	(16.0, 48610.0)	(17.0, 46104.0)	(18.0, 40844.0)	(19.0, 36481.0)	(20.0, 32993.0)	(21.0, 29855.0)	(22.0, 29871.0)	(23.0, 32694.0)	(24.0, 38422.0)	(25.0, 48305.0)	(26.0, 59231.0)	(27.0, 74531.0)	(28.0, 93160.0)	(29.0, 115001.0)	(30.0, 142618.0)	(31.0, 185206.0)	(32.0, 259651.0)	(33.0, 428156.0)	(34.0, 1092175.0)	(35.0, 5125054.0)
SRR18396493_1	(2.0, 30.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 3.0)	(13.0, 5.0)	(14.0, 14.0)	(15.0, 17.0)	(16.0, 62.0)	(17.0, 160.0)	(18.0, 234.0)	(19.0, 413.0)	(20.0, 900.0)	(21.0, 2040.0)	(22.0, 3764.0)	(23.0, 6564.0)	(24.0, 12058.0)	(25.0, 21940.0)	(26.0, 38024.0)	(27.0, 60427.0)	(28.0, 88480.0)	(29.0, 123093.0)	(30.0, 167690.0)	(31.0, 230604.0)	(32.0, 339496.0)	(33.0, 590723.0)	(34.0, 1486345.0)	(35.0, 6960997.0)
SRR18396493_2	(2.0, 19071.0)	(3.0, 98.0)	(4.0, 95.0)	(5.0, 90.0)	(6.0, 78.0)	(7.0, 78.0)	(8.0, 110.0)	(9.0, 101.0)	(10.0, 138.0)	(11.0, 129.0)	(12.0, 126.0)	(13.0, 168.0)	(14.0, 5381.0)	(15.0, 29410.0)	(16.0, 44335.0)	(17.0, 43601.0)	(18.0, 39762.0)	(19.0, 35950.0)	(20.0, 32346.0)	(21.0, 29906.0)	(22.0, 30980.0)	(23.0, 36020.0)	(24.0, 44007.0)	(25.0, 55605.0)	(26.0, 71128.0)	(27.0, 89213.0)	(28.0, 111677.0)	(29.0, 139163.0)	(30.0, 174296.0)	(31.0, 226217.0)	(32.0, 318596.0)	(33.0, 525855.0)	(34.0, 1355681.0)	(35.0, 6674672.0)
SRR18396494_1	(2.0, 20.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 2.0)	(13.0, 4.0)	(14.0, 5.0)	(15.0, 9.0)	(16.0, 43.0)	(17.0, 106.0)	(18.0, 174.0)	(19.0, 325.0)	(20.0, 781.0)	(21.0, 1836.0)	(22.0, 3460.0)	(23.0, 5582.0)	(24.0, 9642.0)	(25.0, 16979.0)	(26.0, 28274.0)	(27.0, 43782.0)	(28.0, 63662.0)	(29.0, 88270.0)	(30.0, 120071.0)	(31.0, 163969.0)	(32.0, 242960.0)	(33.0, 423395.0)	(34.0, 1073438.0)	(35.0, 5304694.0)
SRR18396494_2	(2.0, 14496.0)	(3.0, 76.0)	(4.0, 70.0)	(5.0, 71.0)	(6.0, 60.0)	(7.0, 57.0)	(8.0, 78.0)	(9.0, 91.0)	(10.0, 101.0)	(11.0, 101.0)	(12.0, 98.0)	(13.0, 113.0)	(14.0, 5146.0)	(15.0, 28213.0)	(16.0, 42182.0)	(17.0, 40588.0)	(18.0, 36458.0)	(19.0, 33152.0)	(20.0, 29704.0)	(21.0, 27033.0)	(22.0, 27205.0)	(23.0, 29694.0)	(24.0, 35455.0)	(25.0, 43125.0)	(26.0, 53783.0)	(27.0, 66419.0)	(28.0, 83043.0)	(29.0, 101722.0)	(30.0, 126796.0)	(31.0, 163709.0)	(32.0, 230493.0)	(33.0, 381848.0)	(34.0, 986416.0)	(35.0, 5003887.0)
SRR18396495_1	(2.0, 16.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 1.0)	(13.0, 0.0)	(14.0, 3.0)	(15.0, 12.0)	(16.0, 37.0)	(17.0, 81.0)	(18.0, 131.0)	(19.0, 211.0)	(20.0, 454.0)	(21.0, 1111.0)	(22.0, 2121.0)	(23.0, 3697.0)	(24.0, 6445.0)	(25.0, 11640.0)	(26.0, 19689.0)	(27.0, 30737.0)	(28.0, 45278.0)	(29.0, 63333.0)	(30.0, 85367.0)	(31.0, 116478.0)	(32.0, 169089.0)	(33.0, 293228.0)	(34.0, 740929.0)	(35.0, 3529477.0)
SRR18396495_2	(2.0, 9807.0)	(3.0, 55.0)	(4.0, 45.0)	(5.0, 50.0)	(6.0, 46.0)	(7.0, 41.0)	(8.0, 49.0)	(9.0, 56.0)	(10.0, 70.0)	(11.0, 76.0)	(12.0, 73.0)	(13.0, 88.0)	(14.0, 4241.0)	(15.0, 22538.0)	(16.0, 34381.0)	(17.0, 32407.0)	(18.0, 28887.0)	(19.0, 25581.0)	(20.0, 22912.0)	(21.0, 20447.0)	(22.0, 20169.0)	(23.0, 21774.0)	(24.0, 24988.0)	(25.0, 30267.0)	(26.0, 37043.0)	(27.0, 46199.0)	(28.0, 57049.0)	(29.0, 70882.0)	(30.0, 88533.0)	(31.0, 114570.0)	(32.0, 161591.0)	(33.0, 267222.0)	(34.0, 686039.0)	(35.0, 3291389.0)
SRR18396500_1	(2.0, 10.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 2.0)	(13.0, 1.0)	(14.0, 3.0)	(15.0, 15.0)	(16.0, 39.0)	(17.0, 91.0)	(18.0, 138.0)	(19.0, 259.0)	(20.0, 430.0)	(21.0, 1083.0)	(22.0, 1888.0)	(23.0, 3458.0)	(24.0, 6363.0)	(25.0, 11614.0)	(26.0, 19876.0)	(27.0, 31811.0)	(28.0, 46550.0)	(29.0, 65991.0)	(30.0, 89949.0)	(31.0, 122615.0)	(32.0, 180778.0)	(33.0, 310818.0)	(34.0, 782848.0)	(35.0, 3793798.0)
SRR18396500_2	(2.0, 10399.0)	(3.0, 68.0)	(4.0, 63.0)	(5.0, 50.0)	(6.0, 56.0)	(7.0, 45.0)	(8.0, 64.0)	(9.0, 69.0)	(10.0, 77.0)	(11.0, 54.0)	(12.0, 81.0)	(13.0, 83.0)	(14.0, 3569.0)	(15.0, 19390.0)	(16.0, 29449.0)	(17.0, 28920.0)	(18.0, 26633.0)	(19.0, 23423.0)	(20.0, 20899.0)	(21.0, 18343.0)	(22.0, 18120.0)	(23.0, 20104.0)	(24.0, 24462.0)	(25.0, 30620.0)	(26.0, 37844.0)	(27.0, 47880.0)	(28.0, 59540.0)	(29.0, 74234.0)	(30.0, 92323.0)	(31.0, 119387.0)	(32.0, 168151.0)	(33.0, 277624.0)	(34.0, 716200.0)	(35.0, 3602204.0)
SRR18396512_1	(2.0, 11.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 1.0)	(11.0, 1.0)	(12.0, 3.0)	(13.0, 0.0)	(14.0, 5.0)	(15.0, 10.0)	(16.0, 39.0)	(17.0, 82.0)	(18.0, 151.0)	(19.0, 333.0)	(20.0, 762.0)	(21.0, 1804.0)	(22.0, 3415.0)	(23.0, 5716.0)	(24.0, 9871.0)	(25.0, 16601.0)	(26.0, 26798.0)	(27.0, 39786.0)	(28.0, 56526.0)	(29.0, 77262.0)	(30.0, 102733.0)	(31.0, 138362.0)	(32.0, 201133.0)	(33.0, 344790.0)	(34.0, 859535.0)	(35.0, 4052457.0)
SRR18396512_2	(2.0, 11390.0)	(3.0, 75.0)	(4.0, 57.0)	(5.0, 53.0)	(6.0, 59.0)	(7.0, 50.0)	(8.0, 62.0)	(9.0, 66.0)	(10.0, 73.0)	(11.0, 91.0)	(12.0, 91.0)	(13.0, 101.0)	(14.0, 4503.0)	(15.0, 24854.0)	(16.0, 36750.0)	(17.0, 34653.0)	(18.0, 30123.0)	(19.0, 26863.0)	(20.0, 23807.0)	(21.0, 22188.0)	(22.0, 22088.0)	(23.0, 24756.0)	(24.0, 29651.0)	(25.0, 35951.0)	(26.0, 45035.0)	(27.0, 56121.0)	(28.0, 69754.0)	(29.0, 86107.0)	(30.0, 107116.0)	(31.0, 137425.0)	(32.0, 191639.0)	(33.0, 317633.0)	(34.0, 808131.0)	(35.0, 3790871.0)
