Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR18396491_1	(1.0, 20.27294847762943)	(2.0, 6.515649706629032)	(3.0, 4.090698242452784)	(4.0, 3.071171614420015)	(5.0, 2.5256870101110627)	(6.0, 2.173793871354253)	(7.0, 1.9399981563980109)	(8.0, 1.6897300802372677)	(9.0, 1.5316552143902686)	('>10', 23.413795690818688)	('>50', 8.206418278552531)	('>100', 14.059570548184155)	('>500', 4.069954634965445)	('>1k', 4.981592059422613)	('>5k', 0.6889940484965725)	('>10k+', 0.7683423659379377)
SRR18396491_2	(1.0, 29.91307886336207)	(2.0, 9.742800383830467)	(3.0, 6.2748323803690065)	(4.0, 4.672231769003045)	(5.0, 3.6181979043617503)	(6.0, 2.8492648697478535)	(7.0, 2.413246016177583)	(8.0, 1.9987694784241026)	(9.0, 1.7788053289581829)	('>10', 20.027675223333393)	('>50', 5.802233293782918)	('>100', 7.601773435524606)	('>500', 1.26793206453805)	('>1k', 0.80992991261363)	('>5k', 0.0)	('>10k+', 1.2292290759734168)
SRR18396493_1	(1.0, 21.043476984136593)	(2.0, 7.140531627036493)	(3.0, 4.400971215541713)	(4.0, 3.31916597908276)	(5.0, 2.6308608683570824)	(6.0, 2.16977656725465)	(7.0, 1.8669147984092755)	(8.0, 1.71838338333176)	(9.0, 1.53288507026343)	('>10', 22.568470957606095)	('>50', 8.050415358980253)	('>100', 13.272311389675862)	('>500', 3.8224769473801525)	('>1k', 4.671144681445696)	('>5k', 0.7776905333108811)	('>10k+', 1.0145236381872271)
SRR18396493_2	(1.0, 28.50814320533229)	(2.0, 9.472741602117555)	(3.0, 6.244591923842586)	(4.0, 4.650862443749455)	(5.0, 3.628351028355038)	(6.0, 2.8525935566713994)	(7.0, 2.4356117727933935)	(8.0, 2.025473392403479)	(9.0, 1.745751424175967)	('>10', 20.73588192636774)	('>50', 5.604158791734274)	('>100', 8.100829751294334)	('>500', 1.7032235615077507)	('>1k', 1.2781493049237298)	('>5k', 0.1243777447958537)	('>10k+', 0.8892585699349812)
SRR18396494_1	(1.0, 22.05927106063789)	(2.0, 7.425069895715403)	(3.0, 4.522489998064619)	(4.0, 3.2486066848412194)	(5.0, 2.744967865668592)	(6.0, 2.23575094697707)	(7.0, 1.942986078103653)	(8.0, 1.747339980977005)	(9.0, 1.506113587979755)	('>10', 22.516357861786886)	('>50', 7.737578321929959)	('>100', 12.913027330396881)	('>500', 3.6829619531338404)	('>1k', 4.463169538296031)	('>5k', 0.47052694787162685)	('>10k+', 0.7837819476195471)
SRR18396494_2	(1.0, 30.392722525509253)	(2.0, 10.190796536589566)	(3.0, 6.396460435663069)	(4.0, 4.547425514879197)	(5.0, 3.6153133374742774)	(6.0, 2.811249511097823)	(7.0, 2.294963203818208)	(8.0, 1.9844525497680585)	(9.0, 1.6982248500017616)	('>10', 19.79517965921211)	('>50', 5.441890700819883)	('>100', 7.663942728286063)	('>500', 1.2244246936114034)	('>1k', 0.7697983036993947)	('>5k', 0.0)	('>10k+', 1.1731554495697918)
SRR18396495_1	(1.0, 25.354317599459876)	(2.0, 8.224253595010593)	(3.0, 5.02727372544827)	(4.0, 3.6602699508778427)	(5.0, 2.9372828072485655)	(6.0, 2.4300361973235316)	(7.0, 2.1001437221381463)	(8.0, 1.806650820541498)	(9.0, 1.6032372982112235)	('>10', 22.164868660839083)	('>50', 6.7649411072416195)	('>100', 11.180706045671082)	('>500', 2.9403488554792023)	('>1k', 3.0840213941297376)	('>5k', 0.2572805248544302)	('>10k+', 0.4643676955253974)
SRR18396495_2	(1.0, 35.293513219747524)	(2.0, 11.261325502912221)	(3.0, 6.923009319245561)	(4.0, 4.73787977155785)	(5.0, 3.5557264930437538)	(6.0, 2.6704985747073358)	(7.0, 2.1547379107092297)	(8.0, 1.8367426132900562)	(9.0, 1.5121599195789859)	('>10', 17.280998984631932)	('>50', 4.3695510913922755)	('>100', 5.739735482941156)	('>500', 0.8076056938891916)	('>1k', 0.46163539370508805)	('>5k', 0.15954213820021274)	('>10k+', 1.2353378904477064)
SRR18396500_1	(1.0, 25.319048461788597)	(2.0, 8.297294351533846)	(3.0, 5.013689698302456)	(4.0, 3.7465673986204537)	(5.0, 2.8744574205676616)	(6.0, 2.4206615120707102)	(7.0, 2.047107701721506)	(8.0, 1.7921007911244902)	(9.0, 1.5949312322567015)	('>10', 21.987780412916056)	('>50', 6.9291212490020975)	('>100', 11.040247331141522)	('>500', 2.6823414182123897)	('>1k', 3.0932960469884385)	('>5k', 0.48761617219009595)	('>10k+', 0.6737388015629622)
SRR18396500_2	(1.0, 34.26701925017537)	(2.0, 11.41090696763138)	(3.0, 6.89645935468801)	(4.0, 4.768091768691677)	(5.0, 3.558476950187411)	(6.0, 2.7604289677347493)	(7.0, 2.2068383916702223)	(8.0, 1.8946326200139012)	(9.0, 1.5840051654829645)	('>10', 17.92567302579214)	('>50', 4.4350024043723755)	('>100', 5.811680118552962)	('>500', 0.8232586564249358)	('>1k', 0.5465732604189875)	('>5k', 0.15830121128052457)	('>10k+', 0.952651886882354)
