Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41
SRR18396491_1	(35, 23.0)	(36, 1.0)	(37, 1.0)	(38, 1.0)	(39, 1.0)	(40, 0.0)	(41, 2.0)	(42, 1.0)	(43, 0.0)	(44, 7.0)	(45, 6.0)	(46, 6.0)	(47, 22.0)	(48, 31.0)	(49, 41.0)	(50, 39.0)	(51, 27.0)	(52, 47.0)	(53, 36.0)	(54, 45.0)	(55, 50.0)	(56, 52.0)	(57, 50.0)	(58, 42.0)	(59, 56.0)	(60, 45.0)	(61, 29.0)	(62, 34.0)	(63, 22.0)	(64, 55.0)	(65, 89.0)	(66, 258.0)	(67, 110.0)	(68, 146.0)	(69, 326.0)	(70, 1383.0)	(71, 11046.0)	(72, 30847.0)	(73, 101462.0)	(74, 481620.0)	(75, 1587657.0)	(76, 5798618.0)
SRR18396491_2	(35, 2585.0)	(36, 38.0)	(37, 14.0)	(38, 38.0)	(39, 29.0)	(40, 20.0)	(41, 16.0)	(42, 33.0)	(43, 13.0)	(44, 19.0)	(45, 9.0)	(46, 4.0)	(47, 21.0)	(48, 12.0)	(49, 8.0)	(50, 9.0)	(51, 19.0)	(52, 10.0)	(53, 9.0)	(54, 17.0)	(55, 17.0)	(56, 14.0)	(57, 7.0)	(58, 33.0)	(59, 13.0)	(60, 3.0)	(61, 4.0)	(62, 8.0)	(63, 10.0)	(64, 12.0)	(65, 28.0)	(66, 147.0)	(67, 36.0)	(68, 87.0)	(69, 252.0)	(70, 1171.0)	(71, 7306.0)	(72, 23837.0)	(73, 101504.0)	(74, 444678.0)	(75, 1560079.0)	(76, 5872165.0)
SRR18396493_1	(35, 31.0)	(36, 2.0)	(37, 5.0)	(38, 1.0)	(39, 1.0)	(40, 3.0)	(41, 0.0)	(42, 4.0)	(43, 7.0)	(44, 2.0)	(45, 16.0)	(46, 18.0)	(47, 28.0)	(48, 40.0)	(49, 48.0)	(50, 50.0)	(51, 36.0)	(52, 56.0)	(53, 52.0)	(54, 40.0)	(55, 68.0)	(56, 65.0)	(57, 64.0)	(58, 70.0)	(59, 75.0)	(60, 53.0)	(61, 31.0)	(62, 36.0)	(63, 30.0)	(64, 86.0)	(65, 83.0)	(66, 381.0)	(67, 118.0)	(68, 257.0)	(69, 453.0)	(70, 1811.0)	(71, 12818.0)	(72, 39846.0)	(73, 127269.0)	(74, 612759.0)	(75, 2020166.0)	(76, 7317104.0)
SRR18396493_2	(35, 3175.0)	(36, 29.0)	(37, 28.0)	(38, 38.0)	(39, 41.0)	(40, 27.0)	(41, 20.0)	(42, 47.0)	(43, 11.0)	(44, 21.0)	(45, 13.0)	(46, 12.0)	(47, 12.0)	(48, 13.0)	(49, 11.0)	(50, 10.0)	(51, 18.0)	(52, 20.0)	(53, 9.0)	(54, 27.0)	(55, 26.0)	(56, 20.0)	(57, 8.0)	(58, 29.0)	(59, 20.0)	(60, 6.0)	(61, 5.0)	(62, 9.0)	(63, 11.0)	(64, 25.0)	(65, 46.0)	(66, 160.0)	(67, 53.0)	(68, 154.0)	(69, 309.0)	(70, 1495.0)	(71, 11060.0)	(72, 32064.0)	(73, 127159.0)	(74, 574940.0)	(75, 1991239.0)	(76, 7391663.0)
SRR18396494_1	(35, 21.0)	(36, 2.0)	(37, 3.0)	(38, 2.0)	(39, 2.0)	(40, 3.0)	(41, 1.0)	(42, 2.0)	(43, 2.0)	(44, 0.0)	(45, 7.0)	(46, 20.0)	(47, 18.0)	(48, 20.0)	(49, 29.0)	(50, 47.0)	(51, 41.0)	(52, 30.0)	(53, 35.0)	(54, 39.0)	(55, 61.0)	(56, 63.0)	(57, 58.0)	(58, 56.0)	(59, 40.0)	(60, 47.0)	(61, 25.0)	(62, 31.0)	(63, 22.0)	(64, 52.0)	(65, 63.0)	(66, 216.0)	(67, 87.0)	(68, 200.0)	(69, 293.0)	(70, 1352.0)	(71, 9285.0)	(72, 29506.0)	(73, 98598.0)	(74, 457129.0)	(75, 1522244.0)	(76, 5471731.0)
SRR18396494_2	(35, 2413.0)	(36, 26.0)	(37, 9.0)	(38, 36.0)	(39, 30.0)	(40, 15.0)	(41, 21.0)	(42, 27.0)	(43, 6.0)	(44, 22.0)	(45, 6.0)	(46, 8.0)	(47, 13.0)	(48, 10.0)	(49, 6.0)	(50, 15.0)	(51, 18.0)	(52, 15.0)	(53, 8.0)	(54, 16.0)	(55, 22.0)	(56, 11.0)	(57, 4.0)	(58, 26.0)	(59, 16.0)	(60, 4.0)	(61, 2.0)	(62, 8.0)	(63, 7.0)	(64, 11.0)	(65, 26.0)	(66, 127.0)	(67, 36.0)	(68, 102.0)	(69, 256.0)	(70, 1138.0)	(71, 7834.0)	(72, 23624.0)	(73, 96913.0)	(74, 429858.0)	(75, 1494113.0)	(76, 5534625.0)
SRR18396495_1	(35, 19.0)	(36, 0.0)	(37, 1.0)	(38, 1.0)	(39, 0.0)	(40, 1.0)	(41, 2.0)	(42, 1.0)	(43, 1.0)	(44, 3.0)	(45, 2.0)	(46, 7.0)	(47, 14.0)	(48, 14.0)	(49, 14.0)	(50, 34.0)	(51, 18.0)	(52, 19.0)	(53, 17.0)	(54, 29.0)	(55, 40.0)	(56, 52.0)	(57, 40.0)	(58, 40.0)	(59, 41.0)	(60, 28.0)	(61, 21.0)	(62, 23.0)	(63, 11.0)	(64, 31.0)	(65, 36.0)	(66, 157.0)	(67, 65.0)	(68, 142.0)	(69, 219.0)	(70, 888.0)	(71, 6504.0)	(72, 19729.0)	(73, 65841.0)	(74, 308614.0)	(75, 1020257.0)	(76, 3696589.0)
SRR18396495_2	(35, 1658.0)	(36, 20.0)	(37, 11.0)	(38, 32.0)	(39, 14.0)	(40, 15.0)	(41, 15.0)	(42, 19.0)	(43, 3.0)	(44, 12.0)	(45, 4.0)	(46, 3.0)	(47, 7.0)	(48, 5.0)	(49, 2.0)	(50, 8.0)	(51, 12.0)	(52, 13.0)	(53, 3.0)	(54, 7.0)	(55, 8.0)	(56, 7.0)	(57, 3.0)	(58, 14.0)	(59, 8.0)	(60, 3.0)	(61, 4.0)	(62, 2.0)	(63, 8.0)	(64, 6.0)	(65, 29.0)	(66, 103.0)	(67, 20.0)	(68, 78.0)	(69, 190.0)	(70, 790.0)	(71, 5108.0)	(72, 15730.0)	(73, 64002.0)	(74, 286019.0)	(75, 1000905.0)	(76, 3744665.0)
SRR18396500_1	(35, 11.0)	(36, 1.0)	(37, 5.0)	(38, 1.0)	(39, 0.0)	(40, 0.0)	(41, 1.0)	(42, 2.0)	(43, 3.0)	(44, 3.0)	(45, 4.0)	(46, 12.0)	(47, 18.0)	(48, 16.0)	(49, 18.0)	(50, 27.0)	(51, 28.0)	(52, 32.0)	(53, 30.0)	(54, 26.0)	(55, 32.0)	(56, 32.0)	(57, 44.0)	(58, 45.0)	(59, 37.0)	(60, 28.0)	(61, 20.0)	(62, 22.0)	(63, 21.0)	(64, 40.0)	(65, 44.0)	(66, 184.0)	(67, 74.0)	(68, 133.0)	(69, 271.0)	(70, 1035.0)	(71, 6554.0)	(72, 21120.0)	(73, 68774.0)	(74, 330126.0)	(75, 1092569.0)	(76, 3948985.0)
SRR18396500_2	(35, 1769.0)	(36, 26.0)	(37, 18.0)	(38, 21.0)	(39, 12.0)	(40, 15.0)	(41, 18.0)	(42, 28.0)	(43, 13.0)	(44, 8.0)	(45, 6.0)	(46, 5.0)	(47, 11.0)	(48, 9.0)	(49, 3.0)	(50, 4.0)	(51, 9.0)	(52, 12.0)	(53, 6.0)	(54, 8.0)	(55, 13.0)	(56, 6.0)	(57, 4.0)	(58, 19.0)	(59, 7.0)	(60, 3.0)	(61, 8.0)	(62, 6.0)	(63, 4.0)	(64, 8.0)	(65, 25.0)	(66, 118.0)	(67, 36.0)	(68, 78.0)	(69, 186.0)	(70, 774.0)	(71, 5793.0)	(72, 17029.0)	(73, 68455.0)	(74, 309473.0)	(75, 1073409.0)	(76, 3992973.0)
