Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60
fastp_SRR18396491_R1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 1.4000929381692358e-05)	(17, 1.4000929381692358e-05)	(18, 8.400557629015414e-05)	(19, 5.600371752676943e-05)	(20, 0.0)	(21, 2.8001858763384716e-05)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.00015401022319861592)	(26, 9.80065056718465e-05)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 4.200278814507707e-05)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 1.4117524153319136e-05)	(41, 2.827037332724201e-05)	(42, 0.0)	(43, 0.0001275071988439347)	(44, 0.0)	(45, 8.522274526893031e-05)	(46, 2.8447191558125225e-05)	(47, 0.00038459867484389923)	(48, 0.00022826079823371796)	(49, 0.00020005009826032147)	(50, 0.000658384664675387)	(51, 0.0011470471422037355)	(52, 0.001292799566079008)	(53, 0.0003885883965202053)	(54, 0.0009229028582734131)	(55, 5.780387751300551e-05)	(56, 0.001144492297421966)	(57, 0.0004217993465600881)	(58, 0.00042479695071959866)	(59, 0.0004922751585424359)	(60, 0.0010782972559748934)	(61, 0.0010801889034354327)
fastp_SRR18396491_R2	(1, 0.006244414504234791)	(2, 0.0007980529747564644)	(3, 0.0024501626417961627)	(4, 0.007252481419716641)	(5, 0.0007980529747564644)	(6, 0.0008260548335198491)	(7, 0.0031782109696441648)	(8, 0.0007560501866113873)	(9, 0.00033602230516061656)	(10, 0.00025201672887046245)	(11, 0.00021001394072538536)	(12, 0.003360223051606166)	(13, 0.0)	(14, 0.00018201208196200064)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.00033602319904166186)	(20, 5.60039370767765e-05)	(21, 0.0004200295280758238)	(22, 0.0)	(23, 0.0)	(24, 0.00023801706582361957)	(25, 0.0)	(26, 5.600403117016363e-05)	(27, 0.00012600917598819546)	(28, 0.000322023810440544)	(29, 1.4001052879176514e-05)	(30, 4.20032174464564e-05)	(31, 2.800220377343697e-05)	(32, 8.402418720252812e-05)	(33, 0.0012476008215661681)	(34, 0.00030873184884769344)	(35, 0.0003231256080556619)	(36, 0.00014065896474439312)	(37, 0.00014082908334631306)	(38, 5.640065672924696e-05)	(39, 0.0001835370641806524)	(40, 2.8272659264130534e-05)	(41, 7.077474423069057e-05)	(42, 0.00015589829875272857)	(43, 0.0006386390233421144)	(44, 4.263638990296384e-05)	(45, 0.0001565542801442064)	(46, 0.0003705878135618321)	(47, 0.0006995122401080047)	(48, 0.00018588596468023682)	(49, 0.00027214524649627316)	(50, 0.00030131558689747823)	(51, 0.00031625598909779356)	(52, 5.7615684372062496e-05)	(53, 0.00010104111319592607)	(54, 0.0016493659273118647)	(55, 0.0003915640853360265)	(56, 8.727444102538741e-05)	(57, 0.00030673654806868446)	(58, 0.00014702137632003143)	(59, 1.498746822844079e-05)	(60, 0.00012919335384170165)	(61, 8.774157998895333e-05)
fastp_SRR18396493_R1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 3.276662365501201e-05)	(20, 0.0)	(21, 7.645559715589548e-05)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.00022936746787271723)	(26, 2.184453983712274e-05)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 1.0923408120811145e-05)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 4.401517423131625e-05)	(40, 3.304913282380384e-05)	(41, 0.0)	(42, 0.0)	(43, 0.00015477139767084523)	(44, 0.0)	(45, 3.324989457012597e-05)	(46, 2.2197403059223893e-05)	(47, 0.0003890308419205408)	(48, 0.00014472534024927492)	(49, 0.00028992527510563317)	(50, 0.0007483816804653727)	(51, 0.0009846952619932804)	(52, 0.0011323008319272063)	(53, 0.0003932520200513587)	(54, 0.0009572186334656698)	(55, 3.386157006393403e-05)	(56, 0.0009169171208802404)	(57, 0.00047756072895324485)	(58, 0.0004696312386787371)	(59, 0.0005016366771539842)	(60, 0.0009952177895557815)	(61, 0.0013192395700158495)
fastp_SRR18396493_R2	(1, 0.005602803192745932)	(2, 0.0008518882047449956)	(3, 0.0021406421555130654)	(4, 0.006203493593527659)	(5, 0.0007317501245886499)	(6, 0.0007099068372874962)	(7, 0.0029160788547040227)	(8, 0.0007645150555403806)	(9, 0.00017474629840922985)	(10, 0.00024027616031269103)	(11, 0.00029488437856557535)	(12, 0.0027304109126442162)	(13, 0.0)	(14, 0.00017474629840922985)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.00032765027570678533)	(20, 2.184339942709132e-05)	(21, 0.0003822595317233363)	(22, 0.0)	(23, 0.0)	(24, 0.0001965908310254844)	(25, 0.0)	(26, 2.1843439983564997e-05)	(27, 9.829551213272428e-05)	(28, 0.0002730434471101737)	(29, 3.276524586002928e-05)	(30, 0.0)	(31, 0.0)	(32, 0.00012016378979988579)	(33, 0.0012137662082894983)	(34, 0.0003831204989498667)	(35, 0.0003287441382180621)	(36, 0.00015359604547232869)	(37, 0.00016476907613979008)	(38, 2.199606600359526e-05)	(39, 0.00017619024494077971)	(40, 6.615367432391771e-05)	(41, 5.519881176829835e-05)	(42, 7.737706773632725e-05)	(43, 0.0006973242892217795)	(44, 7.758865973016659e-05)	(45, 0.00016649728343032355)	(46, 0.00030014693860127526)	(47, 0.0006457965990124211)	(48, 8.922383516610244e-05)	(49, 0.00029048354673260197)	(50, 0.000391744532421561)	(51, 0.0002579118091874242)	(52, 0.0)	(53, 0.00014637715966831836)	(54, 0.0015011442556739866)	(55, 0.00026023569207193095)	(56, 4.5398813252322176e-05)	(57, 0.0003533975354055881)	(58, 0.00017216210002870516)	(59, 2.339396620484248e-05)	(60, 5.044605028235285e-05)	(61, 0.0001026369309231217)
fastp_SRR18396494_R1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 2.9335776416793325e-05)	(19, 7.333944104198331e-05)	(20, 0.0)	(21, 5.867155283358665e-05)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.00014667888208396663)	(26, 4.4003664625189985e-05)	(27, 1.4667888208396662e-05)	(28, 0.0)	(29, 1.4667888208396662e-05)	(30, 0.0)	(31, 1.4667888208396662e-05)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 4.4292223555254104e-05)	(40, 1.4780648524603054e-05)	(41, 0.0)	(42, 0.0)	(43, 0.00011864572431212547)	(44, 0.0)	(45, 4.4603795634329165e-05)	(46, 2.9776957191008612e-05)	(47, 0.00026838068488066973)	(48, 0.00026878549275100456)	(49, 0.0003140921480552611)	(50, 0.0008239644826364466)	(51, 0.0010055215137330978)	(52, 0.0011728233376206542)	(53, 0.00039171799679032295)	(54, 0.0012077458781897701)	(55, 0.00010591300184984623)	(56, 0.0009557425945498703)	(57, 0.0003655514099317881)	(58, 0.00047564206308363963)	(59, 0.0006096611597068374)	(60, 0.0010288569062441495)	(61, 0.001245827045681986)
fastp_SRR18396494_R2	(1, 0.005544461742773938)	(2, 0.0010120842863793696)	(3, 0.0022295190076762924)	(4, 0.007025918451822001)	(5, 0.0005867155283358665)	(6, 0.0009387448453373864)	(7, 0.0030655886355549027)	(8, 0.0007480622986282298)	(9, 0.00033736142879312324)	(10, 0.0002493540995427432)	(11, 0.00016134677029236327)	(12, 0.003050920747346506)	(13, 0.0)	(14, 0.0002493540995427432)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.00024935457501839723)	(20, 2.9335896899577065e-05)	(21, 0.00036669881881910073)	(22, 0.0)	(23, 0.0)	(24, 0.00032269543388894643)	(25, 0.0)	(26, 5.8671914282680104e-05)	(27, 0.00010267595541810015)	(28, 0.0002493560746073375)	(29, 1.4668028055243901e-05)	(30, 2.9336073322581664e-05)	(31, 1.4668073237102949e-05)	(32, 5.868362075592719e-05)	(33, 0.001116061594852019)	(34, 0.0003822087135942526)	(35, 0.00022074519161786359)	(36, 8.840036880633867e-05)	(37, 0.0001032571433291755)	(38, 2.9537115009550828e-05)	(39, 0.00016265312682892352)	(40, 5.921803473404218e-05)	(41, 2.9646569899274297e-05)	(42, 8.90504858371881e-05)	(43, 0.000713332269279365)	(44, 7.44093239049775e-05)	(45, 0.000193736008161949)	(46, 0.00028358039653494607)	(47, 0.0006129103434749565)	(48, 8.983835384991783e-05)	(49, 0.0003449756102243571)	(50, 0.0003155308332973979)	(51, 0.0001806444037492746)	(52, 3.0168410627063988e-05)	(53, 9.07028929990065e-05)	(54, 0.001560869279925539)	(55, 0.00024307169703543683)	(56, 0.00010667902111330225)	(57, 0.0003673751291935871)	(58, 0.00015412443143497244)	(59, 0.0)	(60, 6.779072731315519e-05)	(61, 2.302984299174242e-05)
fastp_SRR18396495_R1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 2.1949391288506092e-05)	(17, 0.0)	(18, 2.1949391288506092e-05)	(19, 8.779756515402437e-05)	(20, 0.0)	(21, 0.00010974695644253046)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.00026339269546207306)	(26, 4.3898782577012184e-05)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 4.3898782577012184e-05)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 4.425621783264467e-05)	(41, 2.2155465343424114e-05)	(42, 0.0)	(43, 0.0002442854960150373)	(44, 0.0)	(45, 4.4531736544012166e-05)	(46, 2.2297001410062368e-05)	(47, 0.0004242996877824245)	(48, 0.00020129999537010012)	(49, 0.0004032701625559622)	(50, 0.0007630663326830063)	(51, 0.0010117798151275921)	(52, 0.0012615888765708752)	(53, 0.00038377056840936127)	(54, 0.0012894676059721805)	(55, 6.802093321546061e-05)	(56, 0.0009548740180143804)	(57, 0.00029677146884755646)	(58, 0.0003909849900862306)	(59, 0.000585815668647661)	(60, 0.0012898324280058533)	(61, 0.0011198318487643335)
fastp_SRR18396495_R2	(1, 0.005970234430473657)	(2, 0.0007023805212321949)	(3, 0.001975445215965548)	(4, 0.007001855821033444)	(5, 0.0005487347822126523)	(6, 0.0008121274776747255)	(7, 0.0030290159978138406)	(8, 0.0007023805212321949)	(9, 0.00024144330417356702)	(10, 0.00026339269546207306)	(11, 0.00024144330417356702)	(12, 0.0033143580845644196)	(13, 0.0)	(14, 0.0001975445215965548)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0002633936204748153)	(20, 0.0)	(21, 0.00037314161756013233)	(22, 0.0)	(23, 0.0)	(24, 0.0002853435898989247)	(25, 0.0)	(26, 6.58486652804791e-05)	(27, 8.779831673067164e-05)	(28, 0.00019754690641544552)	(29, 0.0)	(30, 2.19498248952719e-05)	(31, 0.0)	(32, 4.3908786521407614e-05)	(33, 0.0012745994955662616)	(34, 0.00032998370540462713)	(35, 0.00048449174943584236)	(36, 0.0001322972401472733)	(37, 0.00015452889988447861)	(38, 2.2102221892162375e-05)	(39, 0.00011065276277818104)	(40, 2.215886755777814e-05)	(41, 4.437685356570237e-05)	(42, 8.887293126034259e-05)	(43, 0.0006452053566283614)	(44, 2.228048321020767e-05)	(45, 0.00020081983582309024)	(46, 0.00033521118639954356)	(47, 0.0006491609594598981)	(48, 0.00011210968452783213)	(49, 0.00022461628238938715)	(50, 0.0002925433402958648)	(51, 0.0003156632558500293)	(52, 4.5190131830912085e-05)	(53, 0.0002038649163882023)	(54, 0.0016357264465614986)	(55, 0.0001822135437960502)	(56, 6.856711863825702e-05)	(57, 0.00048234790422132514)	(58, 0.0002081617925968415)	(59, 4.716391583127581e-05)	(60, 0.00015263439331135738)	(61, 6.92432303490309e-05)
fastp_SRR18396500_R1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 6.107963134777704e-05)	(20, 0.0)	(21, 4.071975423185136e-05)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.00014251913981147977)	(26, 2.035987711592568e-05)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 2.035999732876835e-05)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 6.150598637765414e-05)	(40, 6.157577329934899e-05)	(41, 2.0550502757774717e-05)	(42, 0.0)	(43, 0.0002059720355886722)	(44, 4.1245949389982715e-05)	(45, 4.13008956099213e-05)	(46, 4.135903300926463e-05)	(47, 0.0004349292960296547)	(48, 0.00018668550669143086)	(49, 0.0004155458183935954)	(50, 0.0008325198920221701)	(51, 0.0009383243570445119)	(52, 0.0011283059363936334)	(53, 0.000397879761573694)	(54, 0.0013433637829124126)	(55, 0.0)	(56, 0.0008866782920042729)	(57, 0.00025458523927511946)	(58, 0.00044881423279695046)	(59, 0.0006530039378314131)	(60, 0.0011278113340809784)	(61, 0.0011666484837668746)
fastp_SRR18396500_R2	(1, 0.005660045838227339)	(2, 0.0008347549617529527)	(3, 0.002076707465824419)	(4, 0.0071259569905739875)	(5, 0.0005700765592459191)	(6, 0.0007125956990573988)	(7, 0.003216860584316257)	(8, 0.000508996927898142)	(9, 0.00034611791097073657)	(10, 0.0003664777880866622)	(11, 0.00014251913981147977)	(12, 0.003542618618171068)	(13, 0.0)	(14, 0.0003257580338548109)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.00028503903405972136)	(20, 0.0)	(21, 0.0004886393389687022)	(22, 0.0)	(23, 0.0)	(24, 0.00020360013909961503)	(25, 0.0)	(26, 2.0360022200568205e-05)	(27, 0.00012216018294708997)	(28, 0.000325761283760067)	(29, 4.0720177051329825e-05)	(30, 0.0)	(31, 0.0)	(32, 8.146004089701353e-05)	(33, 0.001182323208026099)	(34, 0.0004285341723352215)	(35, 0.0004085699174464053)	(36, 8.181468238108542e-05)	(37, 0.0001228722619964285)	(38, 6.151089204120819e-05)	(39, 0.00012317763816733024)	(40, 0.0)	(41, 4.116324871061269e-05)	(42, 0.0)	(43, 0.0007222600548917642)	(44, 8.266086993539432e-05)	(45, 0.0001655663746282776)	(46, 0.00020727115502680222)	(47, 0.0006020750829150815)	(48, 0.00010397671420689993)	(49, 0.0002916461299183516)	(50, 0.0002504435982233531)	(51, 0.00025092717591500594)	(52, 2.095341824636233e-05)	(53, 8.399585060498011e-05)	(54, 0.0017891889206686261)	(55, 0.0002321322039327838)	(56, 0.00012701584734388694)	(57, 0.00046781447073490894)	(58, 8.564103815779275e-05)	(59, 2.182352104180252e-05)	(60, 7.060431646549143e-05)	(61, 6.39236393773454e-05)
