Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
fastp_SRR18396491_R1	(25.0, 132.0)	(26.0, 1528.0)	(27.0, 6853.0)	(28.0, 19510.0)	(29.0, 43870.0)	(30.0, 80521.0)	(31.0, 131848.0)	(32.0, 210608.0)	(33.0, 360718.0)	(34.0, 790510.0)	(35.0, 4130370.0)	(36.0, 1365915.0)			
fastp_SRR18396491_R2	(22.0, 1.0)	(23.0, 2.0)	(24.0, 40.0)	(25.0, 600.0)	(26.0, 4314.0)	(27.0, 13600.0)	(28.0, 31979.0)	(29.0, 60295.0)	(30.0, 98849.0)	(31.0, 148884.0)	(32.0, 221181.0)	(33.0, 357912.0)	(34.0, 779248.0)	(35.0, 4204448.0)	(36.0, 1221030.0)
fastp_SRR18396493_R1	(24.0, 2.0)	(25.0, 141.0)	(26.0, 1439.0)	(27.0, 7008.0)	(28.0, 22028.0)	(29.0, 51608.0)	(30.0, 99165.0)	(31.0, 166467.0)	(32.0, 267923.0)	(33.0, 464786.0)	(34.0, 1021995.0)	(35.0, 5311413.0)	(36.0, 1742156.0)		
fastp_SRR18396493_R2	(23.0, 4.0)	(24.0, 56.0)	(25.0, 742.0)	(26.0, 5242.0)	(27.0, 16866.0)	(28.0, 39155.0)	(29.0, 74330.0)	(30.0, 121967.0)	(31.0, 183301.0)	(32.0, 273410.0)	(33.0, 442892.0)	(34.0, 964826.0)	(35.0, 5424334.0)	(36.0, 1609006.0)	
fastp_SRR18396494_R1	(24.0, 3.0)	(25.0, 104.0)	(26.0, 1103.0)	(27.0, 5144.0)	(28.0, 15746.0)	(29.0, 36893.0)	(30.0, 70275.0)	(31.0, 117570.0)	(32.0, 190317.0)	(33.0, 329971.0)	(34.0, 730217.0)	(35.0, 3951150.0)	(36.0, 1369121.0)		
fastp_SRR18396494_R2	(23.0, 2.0)	(24.0, 66.0)	(25.0, 586.0)	(26.0, 3972.0)	(27.0, 12433.0)	(28.0, 28361.0)	(29.0, 53692.0)	(30.0, 88707.0)	(31.0, 132853.0)	(32.0, 197585.0)	(33.0, 320484.0)	(34.0, 702194.0)	(35.0, 4037948.0)	(36.0, 1238731.0)	
fastp_SRR18396495_R1	(24.0, 3.0)	(25.0, 80.0)	(26.0, 772.0)	(27.0, 3703.0)	(28.0, 11326.0)	(29.0, 25924.0)	(30.0, 49052.0)	(31.0, 82560.0)	(32.0, 132528.0)	(33.0, 228913.0)	(34.0, 504082.0)	(35.0, 2642299.0)	(36.0, 874693.0)		
fastp_SRR18396495_R2	(24.0, 25.0)	(25.0, 372.0)	(26.0, 2700.0)	(27.0, 8615.0)	(28.0, 19594.0)	(29.0, 37235.0)	(30.0, 60759.0)	(31.0, 92490.0)	(32.0, 136936.0)	(33.0, 223824.0)	(34.0, 489980.0)	(35.0, 2692091.0)	(36.0, 791314.0)		
fastp_SRR18396500_R1	(25.0, 59.0)	(26.0, 753.0)	(27.0, 3564.0)	(28.0, 11331.0)	(29.0, 26703.0)	(30.0, 51603.0)	(31.0, 86292.0)	(32.0, 139881.0)	(33.0, 242440.0)	(34.0, 536635.0)	(35.0, 2851337.0)	(36.0, 961023.0)			
fastp_SRR18396500_R2	(23.0, 2.0)	(24.0, 25.0)	(25.0, 418.0)	(26.0, 2753.0)	(27.0, 8787.0)	(28.0, 20577.0)	(29.0, 39229.0)	(30.0, 64533.0)	(31.0, 97230.0)	(32.0, 143714.0)	(33.0, 232789.0)	(34.0, 509124.0)	(35.0, 2907019.0)	(36.0, 885421.0)	
fastp_SRR18396512_R1	(24.0, 4.0)	(25.0, 124.0)	(26.0, 1114.0)	(27.0, 4942.0)	(28.0, 14493.0)	(29.0, 32647.0)	(30.0, 59963.0)	(31.0, 97278.0)	(32.0, 157186.0)	(33.0, 268528.0)	(34.0, 588038.0)	(35.0, 3058504.0)	(36.0, 1005202.0)		
fastp_SRR18396512_R2	(23.0, 1.0)	(24.0, 34.0)	(25.0, 422.0)	(26.0, 3239.0)	(27.0, 10105.0)	(28.0, 23649.0)	(29.0, 45183.0)	(30.0, 73411.0)	(31.0, 110278.0)	(32.0, 163345.0)	(33.0, 266469.0)	(34.0, 577522.0)	(35.0, 3118424.0)	(36.0, 895941.0)	
