Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
fastp_SRR18396491_R1	(1.0, 20.723715694729037)	(2.0, 6.765656009819734)	(3.0, 4.226321057269995)	(4.0, 3.1821821353080844)	(5.0, 2.654693720728715)	(6.0, 2.2946790993468755)	(7.0, 2.040629021326531)	(8.0, 1.7620197040811703)	(9.0, 1.5784577505059023)	('>10', 23.897793244252824)	('>50', 8.233759951552981)	('>100', 13.907919126434384)	('>500', 3.8636432622094965)	('>1k', 4.616227387059333)	('>5k', 0.2523028353749596)	('>10k+', 0.0)
fastp_SRR18396491_R2	(1.0, 27.572670535699945)	(2.0, 10.51251895731347)	(3.0, 6.820437140296562)	(4.0, 4.98628500352151)	(5.0, 3.9272992508222173)	(6.0, 3.0439870127537847)	(7.0, 2.5968649508498065)	(8.0, 2.1982488741100337)	(9.0, 1.9475527027823507)	('>10', 21.31204278486419)	('>50', 6.021506709707966)	('>100', 7.5221588737215725)	('>500', 0.9990713923538447)	('>1k', 0.5393558112027049)	('>5k', 0.0)	('>10k+', 0.0)
fastp_SRR18396493_R1	(1.0, 21.66005127202032)	(2.0, 7.4529983419638555)	(3.0, 4.532205889448476)	(4.0, 3.4674875389002184)	(5.0, 2.7458678129338208)	(6.0, 2.187571868865536)	(7.0, 1.993836129401403)	(8.0, 1.7907442207286077)	(9.0, 1.5571273704540936)	('>10', 23.015427516360422)	('>50', 8.09035060565906)	('>100', 13.031757031673028)	('>500', 3.726377412565741)	('>1k', 4.365572650887489)	('>5k', 0.38262433813797353)	('>10k+', 0.0)
fastp_SRR18396493_R2	(1.0, 26.521788545697728)	(2.0, 10.20273793667268)	(3.0, 6.701195591008645)	(4.0, 5.056741346050211)	(5.0, 3.860011375275167)	(6.0, 3.101641760510722)	(7.0, 2.577273834547978)	(8.0, 2.1962536856046926)	(9.0, 1.8830822850534379)	('>10', 21.786656211668745)	('>50', 5.850285364005748)	('>100', 7.992666581427719)	('>500', 1.4124744640110976)	('>1k', 0.7923569935565765)	('>5k', 0.06483402490877767)	('>10k+', 0.0)
fastp_SRR18396494_R1	(1.0, 22.809214335212)	(2.0, 7.584330402010667)	(3.0, 4.694222026490427)	(4.0, 3.4120456601997744)	(5.0, 2.747812245329087)	(6.0, 2.396374128006553)	(7.0, 1.9658028157330876)	(8.0, 1.7940650298332461)	(9.0, 1.574431379457707)	('>10', 22.92556794755606)	('>50', 7.688105679459452)	('>100', 12.712892969781608)	('>500', 3.619302243059825)	('>1k', 3.970219112967091)	('>5k', 0.1056140249034578)	('>10k+', 0.0)
fastp_SRR18396494_R2	(1.0, 28.38755834842306)	(2.0, 11.017332752375477)	(3.0, 6.921241451554846)	(4.0, 4.895644014198868)	(5.0, 3.8677364934943474)	(6.0, 2.983683338830387)	(7.0, 2.454518466135643)	(8.0, 2.1055705229839874)	(9.0, 1.8005705040058513)	('>10', 20.898965430283805)	('>50', 5.6332004901319745)	('>100', 7.618271628087199)	('>500', 0.9318582338987114)	('>1k', 0.483848325595732)	('>5k', 0.0)	('>10k+', 0.0)
fastp_SRR18396495_R1	(1.0, 26.263287104394863)	(2.0, 8.52562077516303)	(3.0, 5.19196141652334)	(4.0, 3.791810163593489)	(5.0, 3.0119135930140386)	(6.0, 2.499593246783396)	(7.0, 2.134514754914721)	(8.0, 1.8961471602157904)	(9.0, 1.6215299509177943)	('>10', 22.398766574443542)	('>50', 6.659286832666083)	('>100', 10.85948201142964)	('>500', 2.781426686637456)	('>1k', 2.364659729302792)	('>5k', 0.0)	('>10k+', 0.0)
fastp_SRR18396495_R2	(1.0, 33.529117300296406)	(2.0, 12.143223121038206)	(3.0, 7.475682661452189)	(4.0, 5.122341077568278)	(5.0, 3.747834102500837)	(6.0, 2.8391179148157373)	(7.0, 2.3771878570871836)	(8.0, 1.9486797625680718)	(9.0, 1.6235256649192096)	('>10', 18.36132898310502)	('>50', 4.566751927317717)	('>100', 5.383064995165737)	('>500', 0.6478336324665187)	('>1k', 0.23431099969904676)	('>5k', 0.0)	('>10k+', 0.0)
fastp_SRR18396500_R1	(1.0, 26.18078270446716)	(2.0, 8.721104412600276)	(3.0, 5.120559102042596)	(4.0, 3.8976452078126367)	(5.0, 3.004872643919532)	(6.0, 2.4647100044940022)	(7.0, 2.135661088239132)	(8.0, 1.8105341128283536)	(9.0, 1.6909630104437892)	('>10', 22.20514751843801)	('>50', 6.792537099398693)	('>100', 10.866983413522565)	('>500', 2.5661582229876267)	('>1k', 2.427905315207313)	('>5k', 0.11443614359822793)	('>10k+', 0.0)
fastp_SRR18396500_R2	(1.0, 32.86442785759839)	(2.0, 12.252164138203153)	(3.0, 7.395945760876669)	(4.0, 5.066809934498583)	(5.0, 3.720017030306451)	(6.0, 2.9867266574217624)	(7.0, 2.3417513434966115)	(8.0, 2.0507437230245857)	(9.0, 1.7275968101546229)	('>10', 18.80961101275303)	('>50', 4.58942813373953)	('>100', 5.31355862784711)	('>500', 0.5491021987636091)	('>1k', 0.3321167713159163)	('>5k', 0.0)	('>10k+', 0.0)
