Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60
fastp_SRR18396491_R1	(1, 35.56498734385988)	(2, 35.550396555323346)	(3, 35.54212970656992)	(4, 35.53319445344782)	(5, 35.517043541350276)	(6, 35.52501399042868)	(7, 35.51796074223407)	(8, 35.51467976444276)	(9, 35.51514879557705)	(10, 35.508455791295425)	(11, 35.5109087541231)	(12, 35.49382313998003)	(13, 35.47483871979422)	(14, 35.47148395710507)	(15, 35.44134919675968)	(16, 35.42775499437653)	(17, 35.420441468904706)	(18, 35.406683035619906)	(19, 35.39681812078686)	(20, 35.39005987217431)	(21, 35.370891479776425)	(22, 35.36336135992707)	(23, 35.33913821199451)	(24, 35.32157334603871)	(25, 35.300594773481066)	(26, 35.28891841840461)	(27, 35.269989441899156)	(28, 35.27132597061793)	(29, 35.2656702951942)	(30, 35.25274701734701)	(31, 35.24327090832289)	(32, 35.215138817916674)	(33, 35.20183964672459)	(34, 35.20174604105292)	(35, 35.19490618635804)	(36, 35.181930163390234)	(37, 35.16045521360807)	(38, 35.1447077659694)	(39, 35.14901786264474)	(40, 35.113785974098576)	(41, 35.089993644820076)	(42, 35.08580142737992)	(43, 35.07037901514856)	(44, 35.04518077031924)	(45, 35.0247681444196)	(46, 35.00055144880835)	(47, 34.979172414873716)	(48, 34.97563558505953)	(49, 34.97015724080616)	(50, 34.93696081337414)	(51, 34.90146707329488)	(52, 34.91121971904305)	(53, 34.91388305446599)	(54, 34.886490158610954)	(55, 34.88893042739753)	(56, 34.8727488271127)	(57, 34.86281659858971)	(58, 34.82350184735405)	(59, 34.824518674234376)	(60, 34.83247766959041)	(61, 34.932466805794995)
fastp_SRR18396491_R2	(1, 35.3720875791735)	(2, 35.36556874645339)	(3, 35.36207481452619)	(4, 35.357614258434474)	(5, 35.35286458315103)	(6, 35.3466586712026)	(7, 35.34280841562263)	(8, 35.32008308711532)	(9, 35.30166990484828)	(10, 35.30257632501645)	(11, 35.30759201795815)	(12, 35.28329886537868)	(13, 35.27398894738633)	(14, 35.26528316949679)	(15, 35.26687997549277)	(16, 35.273937042292054)	(17, 35.26806972976628)	(18, 35.253312240431086)	(19, 35.25246683030996)	(20, 35.24164592770872)	(21, 35.21008126871319)	(22, 35.216896278173834)	(23, 35.19909970757507)	(24, 35.20986468729808)	(25, 35.20123141646496)	(26, 35.18338926035896)	(27, 35.18963134895483)	(28, 35.19367240013727)	(29, 35.189366480359325)	(30, 35.17165188853466)	(31, 35.17147023470747)	(32, 35.15457579618869)	(33, 35.146521885161285)	(34, 35.14827352238481)	(35, 35.13065654206428)	(36, 35.12506115148492)	(37, 35.112616933908626)	(38, 35.119464910049416)	(39, 35.12784133023146)	(40, 35.10115886803058)	(41, 35.073159145363825)	(42, 35.04936448767142)	(43, 35.04130958466608)	(44, 35.02712200246637)	(45, 35.01582763772258)	(46, 35.01552762938824)	(47, 35.023154140662776)	(48, 35.041831062545626)	(49, 35.01972895479324)	(50, 35.0191952377215)	(51, 35.00757763725151)	(52, 35.015643954659915)	(53, 34.98779394483704)	(54, 34.95460308370662)	(55, 34.959745326718895)	(56, 34.93257394872481)	(57, 34.88834424487742)	(58, 34.87155742096278)	(59, 34.8668363447903)	(60, 34.89229198537725)	(61, 35.00732598322118)
fastp_SRR18396493_R1	(1, 35.572632370594086)	(2, 35.556035076387616)	(3, 35.550217226031386)	(4, 35.54200032743088)	(5, 35.52774452440665)	(6, 35.5310119525376)	(7, 35.52978545195563)	(8, 35.524002660075524)	(9, 35.521364755484605)	(10, 35.516177083967015)	(11, 35.5190856268876)	(12, 35.49856931928999)	(13, 35.48328786471054)	(14, 35.47989483767762)	(15, 35.44818253474093)	(16, 35.435701450389374)	(17, 35.43025416633081)	(18, 35.41146512899455)	(19, 35.40443865421797)	(20, 35.39931985227059)	(21, 35.37883824846343)	(22, 35.37364287219213)	(23, 35.35425381013821)	(24, 35.33357049183228)	(25, 35.31263091694342)	(26, 35.2953382878206)	(27, 35.2861048449047)	(28, 35.28365707307669)	(29, 35.27850709756938)	(30, 35.2655338258054)	(31, 35.256636844306044)	(32, 35.2260091347152)	(33, 35.21954808207928)	(34, 35.21241611494953)	(35, 35.20126410806525)	(36, 35.18636091004475)	(37, 35.16903393807539)	(38, 35.15413780554703)	(39, 35.156391525978584)	(40, 35.12669175756831)	(41, 35.10176261962524)	(42, 35.09314183081058)	(43, 35.08335313117462)	(44, 35.054000099842966)	(45, 35.03340184658831)	(46, 35.00550784162108)	(47, 34.98102185286275)	(48, 34.978501384687526)	(49, 34.972343470459066)	(50, 34.94052487916708)	(51, 34.899627997795626)	(52, 34.91493651660093)	(53, 34.91501138464598)	(54, 34.891241381935416)	(55, 34.897238374504674)	(56, 34.87832068327305)	(57, 34.86684845053716)	(58, 34.83160489946799)	(59, 34.834789926808874)	(60, 34.84607671919779)	(61, 34.94705384205692)
fastp_SRR18396493_R2	(1, 35.399478666261984)	(2, 35.38944265869503)	(3, 35.38533579303311)	(4, 35.38443803392503)	(5, 35.37896683653827)	(6, 35.37024928979282)	(7, 35.36651386923145)	(8, 35.34158707427843)	(9, 35.327760491849666)	(10, 35.32629349667452)	(11, 35.335930427382486)	(12, 35.30699036525362)	(13, 35.297368506413896)	(14, 35.29141773965445)	(15, 35.291718412504146)	(16, 35.29441503728325)	(17, 35.29201070366869)	(18, 35.27657481690919)	(19, 35.28070083083372)	(20, 35.265741991882116)	(21, 35.233652753038605)	(22, 35.24068785746044)	(23, 35.2185541293622)	(24, 35.22905999111191)	(25, 35.22064557589263)	(26, 35.20835955001203)	(27, 35.21160762965396)	(28, 35.211991369205855)	(29, 35.21503754405697)	(30, 35.1966414483133)	(31, 35.19604993835196)	(32, 35.17940563056932)	(33, 35.171529440555474)	(34, 35.1710687759311)	(35, 35.157080195379216)	(36, 35.1484272094078)	(37, 35.14038753686708)	(38, 35.14498135008554)	(39, 35.154746790942454)	(40, 35.125873352539216)	(41, 35.09722950539877)	(42, 35.07143881994224)	(43, 35.06135645734467)	(44, 35.05373236368199)	(45, 35.03851748154877)	(46, 35.04064111830748)	(47, 35.04383589373128)	(48, 35.06312876315466)	(49, 35.04557094708697)	(50, 35.04479811389558)	(51, 35.02796448038564)	(52, 35.03712779397495)	(53, 35.01504599564449)	(54, 34.98144755001971)	(55, 34.984476714676006)	(56, 34.9610361280351)	(57, 34.91310513200481)	(58, 34.89947558276584)	(59, 34.89048278478966)	(60, 34.91952240706356)	(61, 35.031167585751874)
fastp_SRR18396494_R1	(1, 35.59081813666776)	(2, 35.57598156774496)	(3, 35.56669166074818)	(4, 35.56043213945524)	(5, 35.545061952759426)	(6, 35.55030645618834)	(7, 35.54416002431349)	(8, 35.54118126957613)	(9, 35.5391757292214)	(10, 35.53332896230265)	(11, 35.5370012147945)	(12, 35.51879880556453)	(13, 35.501531034171194)	(14, 35.50098392194102)	(15, 35.46781777319749)	(16, 35.457817647053645)	(17, 35.45084658650372)	(18, 35.43749939494961)	(19, 35.42879048300476)	(20, 35.423968854792896)	(21, 35.40273239288701)	(22, 35.39840419243448)	(23, 35.37379748985496)	(24, 35.36143128666422)	(25, 35.33994723080538)	(26, 35.32711209522862)	(27, 35.308404670607636)	(28, 35.30998865585526)	(29, 35.30478947620091)	(30, 35.29337345880832)	(31, 35.283577803026105)	(32, 35.25650499156141)	(33, 35.24675435450372)	(34, 35.2448390942823)	(35, 35.23148156045243)	(36, 35.21814883704911)	(37, 35.20134258345291)	(38, 35.18429967136563)	(39, 35.18701623664331)	(40, 35.15413437649239)	(41, 35.132910217927765)	(42, 35.12516656565943)	(43, 35.11583930801068)	(44, 35.08969098219687)	(45, 35.070164892798495)	(46, 35.0403172556127)	(47, 35.024639434277375)	(48, 35.01532868732632)	(49, 35.01085098630917)	(50, 34.98106844223522)	(51, 34.94611845433634)	(52, 34.957520489073346)	(53, 34.95844308970282)	(54, 34.931745751376454)	(55, 34.9319583102216)	(56, 34.91839050519795)	(57, 34.907276057113755)	(58, 34.87013836274182)	(59, 34.87092019441626)	(60, 34.88039437265872)	(61, 34.976264729639674)
fastp_SRR18396494_R2	(1, 35.406746407174126)	(2, 35.398582113918444)	(3, 35.39468397594818)	(4, 35.392700730783524)	(5, 35.38651660243598)	(6, 35.378709032221536)	(7, 35.376720506617126)	(8, 35.35209634925063)	(9, 35.33522123722464)	(10, 35.33574488083367)	(11, 35.34619677793433)	(12, 35.31872705025541)	(13, 35.3067511595699)	(14, 35.30206638275502)	(15, 35.30340658770062)	(16, 35.31016988507261)	(17, 35.30367077480412)	(18, 35.2905052245643)	(19, 35.28861501281756)	(20, 35.278426997473886)	(21, 35.25093420191082)	(22, 35.25811464268202)	(23, 35.23451271163133)	(24, 35.247859722534734)	(25, 35.239657866516424)	(26, 35.22606420584924)	(27, 35.2285753051126)	(28, 35.23584918944608)	(29, 35.23355945076449)	(30, 35.214248530812775)	(31, 35.21062458416012)	(32, 35.19892867181948)	(33, 35.19011257537087)	(34, 35.19001947206392)	(35, 35.17146794816608)	(36, 35.16621729812523)	(37, 35.161812941719305)	(38, 35.16209643808976)	(39, 35.17260261859705)	(40, 35.14564305530121)	(41, 35.120070386886255)	(42, 35.093619963100444)	(43, 35.084045105188274)	(44, 35.077079874539926)	(45, 35.065952208009286)	(46, 35.064896627482824)	(47, 35.06732057722401)	(48, 35.08570069873277)	(49, 35.068446160856425)	(50, 35.06824886848389)	(51, 35.05702341678352)	(52, 35.06524310987441)	(53, 35.04000753438698)	(54, 35.00941204175795)	(55, 35.01405607664051)	(56, 34.98505823150567)	(57, 34.94145249717121)	(58, 34.928584441077)	(59, 34.915923228779825)	(60, 34.94759353086648)	(61, 35.05528728347342)
fastp_SRR18396495_R1	(1, 35.57780192210819)	(2, 35.558252916251)	(3, 35.55075039481468)	(4, 35.54418247845942)	(5, 35.52878059059227)	(6, 35.533172005307364)	(7, 35.528720668754055)	(8, 35.523305973417095)	(9, 35.523250002469304)	(10, 35.51833794819285)	(11, 35.51720184769976)	(12, 35.50319111225248)	(13, 35.48536140221491)	(14, 35.479913782791016)	(15, 35.45144915368635)	(16, 35.43954907170537)	(17, 35.432433737531376)	(18, 35.4160654179658)	(19, 35.40952823075834)	(20, 35.403205489103776)	(21, 35.384299819905245)	(22, 35.374558460557495)	(23, 35.35179979521218)	(24, 35.33523305314935)	(25, 35.31649376033679)	(26, 35.30193626555251)	(27, 35.28642485022284)	(28, 35.28410699450278)	(29, 35.2783070873487)	(30, 35.26805320971436)	(31, 35.25821702899624)	(32, 35.22725728972215)	(33, 35.21751592412664)	(34, 35.21496710736075)	(35, 35.20414338960909)	(36, 35.191774750155034)	(37, 35.17161969361856)	(38, 35.15666969689879)	(39, 35.16096069121956)	(40, 35.12429447290734)	(41, 35.10278407793052)	(42, 35.095575436774475)	(43, 35.08339462678506)	(44, 35.05989866791784)	(45, 35.03855914003873)	(46, 35.01139042317033)	(47, 34.98716962407271)	(48, 34.98705171329781)	(49, 34.97910052382554)	(50, 34.94801453506705)	(51, 34.904911808774514)	(52, 34.92151520428616)	(53, 34.92098976687067)	(54, 34.90150684469765)	(55, 34.90300668396363)	(56, 34.88259232836026)	(57, 34.87668529097872)	(58, 34.83895052268944)	(59, 34.83827293105137)	(60, 34.84379471735219)	(61, 34.94717379892096)
fastp_SRR18396495_R2	(1, 35.38708431968411)	(2, 35.37685678131931)	(3, 35.374420179392374)	(4, 35.37410476663956)	(5, 35.363193724230044)	(6, 35.35932338806414)	(7, 35.35693748923108)	(8, 35.3311948041401)	(9, 35.316410352649896)	(10, 35.31883707735075)	(11, 35.3243452770946)	(12, 35.29492189857845)	(13, 35.28766345437325)	(14, 35.28398605335678)	(15, 35.28137275882997)	(16, 35.286577837480124)	(17, 35.281661482946404)	(18, 35.26852474769635)	(19, 35.26774663904253)	(20, 35.25300866850355)	(21, 35.225523062237166)	(22, 35.23489506269986)	(23, 35.210672684343486)	(24, 35.223578774914614)	(25, 35.21416750038302)	(26, 35.1996961742584)	(27, 35.20365412204317)	(28, 35.210109353187526)	(29, 35.204372301004724)	(30, 35.1854753618703)	(31, 35.18864375276019)	(32, 35.171280053094506)	(33, 35.163027208963335)	(34, 35.159489924387536)	(35, 35.14480335250673)	(36, 35.139146929755896)	(37, 35.12886275339152)	(38, 35.13669649582533)	(39, 35.14142596002337)	(40, 35.11598881952178)	(41, 35.08748452911943)	(42, 35.06397829012035)	(43, 35.05874505778259)	(44, 35.046241137659294)	(45, 35.03223983957619)	(46, 35.033202891487)	(47, 35.038718869654076)	(48, 35.05934570994354)	(49, 35.03800664729426)	(50, 35.03460990245705)	(51, 35.02155732016326)	(52, 35.028038895146466)	(53, 35.008662673330484)	(54, 34.975710371005476)	(55, 34.979592310861776)	(56, 34.950352377850535)	(57, 34.907612690251796)	(58, 34.89114109668884)	(59, 34.88147731533558)	(60, 34.9100474642085)	(61, 35.02106136715911)
fastp_SRR18396500_R1	(1, 35.58516791096056)	(2, 35.56872099862754)	(3, 35.55994568799181)	(4, 35.552851288810764)	(5, 35.53944044135327)	(6, 35.54191050164498)	(7, 35.54142186459419)	(8, 35.53510195513864)	(9, 35.53462044404485)	(10, 35.5279969688215)	(11, 35.530234926514076)	(12, 35.51161500449648)	(13, 35.49610729329482)	(14, 35.4956337225531)	(15, 35.459643771374054)	(16, 35.44797674739154)	(17, 35.44329417925365)	(18, 35.427450122882036)	(19, 35.419320220350876)	(20, 35.414455431312795)	(21, 35.39400312035477)	(22, 35.387149374921236)	(23, 35.3657151070899)	(24, 35.350682188222585)	(25, 35.331348041715756)	(26, 35.3174159814041)	(27, 35.29708753519465)	(28, 35.298933465374276)	(29, 35.292437291310364)	(30, 35.28372918597473)	(31, 35.277850316263496)	(32, 35.24582411904853)	(33, 35.235171595626454)	(34, 35.23093162216214)	(35, 35.22064683640411)	(36, 35.204953938216576)	(37, 35.18872034659168)	(38, 35.17064702514398)	(39, 35.174427081987886)	(40, 35.144445885773656)	(41, 35.119461511066135)	(42, 35.112580604213484)	(43, 35.10276397993997)	(44, 35.07664899758938)	(45, 35.053866486594764)	(46, 35.028197141139565)	(47, 35.0038774982287)	(48, 35.00460470173672)	(49, 34.994886916477576)	(50, 34.95753461721776)	(51, 34.926107999465366)	(52, 34.93745236041602)	(53, 34.93410252565696)	(54, 34.91311920674369)	(55, 34.91605811307986)	(56, 34.89949332669028)	(57, 34.8944266835881)	(58, 34.855544223589845)	(59, 34.852611569531966)	(60, 34.86359732812097)	(61, 34.9620914917272)
fastp_SRR18396500_R2	(1, 35.40687463466745)	(2, 35.40073531732192)	(3, 35.39449725457237)	(4, 35.39091900616925)	(5, 35.388029328810184)	(6, 35.377708092705035)	(7, 35.37297971484363)	(8, 35.34850531016135)	(9, 35.334726152526834)	(10, 35.340506525238816)	(11, 35.34779637924017)	(12, 35.31681088585622)	(13, 35.30785885148712)	(14, 35.301687365535734)	(15, 35.30008117483006)	(16, 35.30559147946419)	(17, 35.29941970195541)	(18, 35.28608346913396)	(19, 35.285392278862645)	(20, 35.27318929602952)	(21, 35.24497526059747)	(22, 35.25293840391971)	(23, 35.23015774124377)	(24, 35.24262906416418)	(25, 35.23411150001008)	(26, 35.219830417303086)	(27, 35.22408188478503)	(28, 35.22559538982631)	(29, 35.223959141374344)	(30, 35.20980730374276)	(31, 35.20473565564258)	(32, 35.192161385374625)	(33, 35.182685855092835)	(34, 35.18508717405385)	(35, 35.16724768713677)	(36, 35.159828254618745)	(37, 35.15380740182506)	(38, 35.15407986369186)	(39, 35.16484740138296)	(40, 35.13926348387797)	(41, 35.11178374146351)	(42, 35.085607818229704)	(43, 35.075798097360654)	(44, 35.063902225416605)	(45, 35.054314463112746)	(46, 35.05426296657255)	(47, 35.05777284122346)	(48, 35.077971722076896)	(49, 35.05601709712941)	(50, 35.06021311080585)	(51, 35.04746099337051)	(52, 35.052596013276926)	(53, 35.03082689715128)	(54, 34.99734042329263)	(55, 35.0037713041968)	(56, 34.977675694670836)	(57, 34.932098643359296)	(58, 34.91935097795643)	(59, 34.907884445329024)	(60, 34.936536604101825)	(61, 35.04698003952399)
