Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46
fastp_SRR18396491_R1	(31, 1482.0)	(32, 5618.0)	(33, 6241.0)	(34, 6677.0)	(35, 7558.0)	(36, 7023.0)	(37, 7550.0)	(38, 8507.0)	(39, 8332.0)	(40, 8851.0)	(41, 7890.0)	(42, 8229.0)	(43, 9010.0)	(44, 9041.0)	(45, 9803.0)	(46, 10266.0)	(47, 10779.0)	(48, 11279.0)	(49, 11450.0)	(50, 12367.0)	(51, 12794.0)	(52, 13410.0)	(53, 13585.0)	(54, 14690.0)	(55, 17327.0)	(56, 27317.0)	(57, 48516.0)	(58, 123223.0)	(59, 490068.0)	(60, 1584680.0)	(61, 4628820.0)																
fastp_SRR18396491_R2	(15, 1.0)	(16, 9.0)	(17, 2.0)	(18, 7.0)	(19, 9.0)	(20, 0.0)	(21, 1.0)	(22, 8.0)	(23, 1.0)	(24, 1.0)	(25, 1.0)	(26, 6.0)	(27, 8.0)	(28, 9.0)	(29, 10.0)	(30, 15.0)	(31, 1494.0)	(32, 7109.0)	(33, 7767.0)	(34, 7950.0)	(35, 8581.0)	(36, 8588.0)	(37, 8690.0)	(38, 9078.0)	(39, 9066.0)	(40, 9305.0)	(41, 8785.0)	(42, 9648.0)	(43, 9991.0)	(44, 9926.0)	(45, 10436.0)	(46, 11000.0)	(47, 11346.0)	(48, 11969.0)	(49, 12129.0)	(50, 13047.0)	(51, 13836.0)	(52, 14681.0)	(53, 16126.0)	(54, 16324.0)	(55, 20558.0)	(56, 28599.0)	(57, 44534.0)	(58, 129491.0)	(59, 479972.0)	(60, 1633427.0)	(61, 4558842.0)
fastp_SRR18396493_R1	(15, 38.0)	(16, 435.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 17.0)	(21, 0.0)	(22, 2.0)	(23, 18.0)	(24, 7.0)	(25, 8.0)	(26, 235.0)	(27, 126.0)	(28, 139.0)	(29, 69.0)	(30, 385.0)	(31, 2752.0)	(32, 8691.0)	(33, 7791.0)	(34, 8192.0)	(35, 9037.0)	(36, 9953.0)	(37, 9923.0)	(38, 10538.0)	(39, 10381.0)	(40, 11059.0)	(41, 9953.0)	(42, 10783.0)	(43, 11412.0)	(44, 11602.0)	(45, 12522.0)	(46, 13347.0)	(47, 14184.0)	(48, 14704.0)	(49, 15177.0)	(50, 15876.0)	(51, 16884.0)	(52, 19746.0)	(53, 20251.0)	(54, 20293.0)	(55, 25651.0)	(56, 39257.0)	(57, 64439.0)	(58, 158313.0)	(59, 633980.0)	(60, 2025464.0)	(61, 5912497.0)
fastp_SRR18396493_R2	(15, 9.0)	(16, 9.0)	(17, 1.0)	(18, 8.0)	(19, 20.0)	(20, 1.0)	(21, 0.0)	(22, 8.0)	(23, 2.0)	(24, 0.0)	(25, 6.0)	(26, 3.0)	(27, 12.0)	(28, 9.0)	(29, 13.0)	(30, 21.0)	(31, 1837.0)	(32, 9083.0)	(33, 9582.0)	(34, 9869.0)	(35, 10820.0)	(36, 11168.0)	(37, 11115.0)	(38, 11442.0)	(39, 11302.0)	(40, 11625.0)	(41, 11558.0)	(42, 12074.0)	(43, 12597.0)	(44, 12781.0)	(45, 13562.0)	(46, 14438.0)	(47, 14942.0)	(48, 15621.0)	(49, 16199.0)	(50, 16617.0)	(51, 17733.0)	(52, 18877.0)	(53, 21259.0)	(54, 21766.0)	(55, 27339.0)	(56, 38812.0)	(57, 59272.0)	(58, 163506.0)	(59, 619950.0)	(60, 2083414.0)	(61, 5845849.0)
fastp_SRR18396494_R1	(31, 1310.0)	(32, 4793.0)	(33, 5196.0)	(34, 5877.0)	(35, 6471.0)	(36, 6307.0)	(37, 6872.0)	(38, 7590.0)	(39, 7595.0)	(40, 7951.0)	(41, 7311.0)	(42, 7578.0)	(43, 8329.0)	(44, 8549.0)	(45, 9282.0)	(46, 9712.0)	(47, 10101.0)	(48, 10854.0)	(49, 10891.0)	(50, 11836.0)	(51, 12591.0)	(52, 13190.0)	(53, 13518.0)	(54, 14712.0)	(55, 17465.0)	(56, 26309.0)	(57, 47918.0)	(58, 120510.0)	(59, 468086.0)	(60, 1514172.0)	(61, 4414738.0)																
fastp_SRR18396494_R2	(15, 5.0)	(16, 2.0)	(17, 5.0)	(18, 1.0)	(19, 15.0)	(20, 2.0)	(21, 1.0)	(22, 8.0)	(23, 1.0)	(24, 1.0)	(25, 1.0)	(26, 7.0)	(27, 5.0)	(28, 11.0)	(29, 4.0)	(30, 17.0)	(31, 1316.0)	(32, 6552.0)	(33, 7094.0)	(34, 7401.0)	(35, 7863.0)	(36, 8110.0)	(37, 8050.0)	(38, 8284.0)	(39, 8159.0)	(40, 8556.0)	(41, 8392.0)	(42, 8769.0)	(43, 9394.0)	(44, 9426.0)	(45, 10122.0)	(46, 10644.0)	(47, 10734.0)	(48, 11524.0)	(49, 11687.0)	(50, 12566.0)	(51, 13434.0)	(52, 14447.0)	(53, 16117.0)	(54, 16467.0)	(55, 20680.0)	(56, 28908.0)	(57, 44568.0)	(58, 124473.0)	(59, 463279.0)	(60, 1558320.0)	(61, 4342192.0)
fastp_SRR18396495_R1	(31, 926.0)	(32, 3425.0)	(33, 3758.0)	(34, 4010.0)	(35, 4501.0)	(36, 4445.0)	(37, 4964.0)	(38, 5497.0)	(39, 5270.0)	(40, 5580.0)	(41, 5340.0)	(42, 5291.0)	(43, 5833.0)	(44, 5916.0)	(45, 6271.0)	(46, 6941.0)	(47, 7028.0)	(48, 7430.0)	(49, 7802.0)	(50, 8099.0)	(51, 8761.0)	(52, 9117.0)	(53, 9301.0)	(54, 10022.0)	(55, 11921.0)	(56, 18011.0)	(57, 32482.0)	(58, 80439.0)	(59, 313552.0)	(60, 1007131.0)	(61, 2946871.0)																
fastp_SRR18396495_R2	(16, 5.0)	(17, 11.0)	(18, 0.0)	(19, 0.0)	(20, 8.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 5.0)	(25, 5.0)	(26, 5.0)	(27, 16.0)	(28, 18.0)	(29, 17.0)	(30, 9.0)	(31, 939.0)	(32, 4448.0)	(33, 4770.0)	(34, 4838.0)	(35, 5599.0)	(36, 5345.0)	(37, 5465.0)	(38, 5792.0)	(39, 5774.0)	(40, 6012.0)	(41, 6046.0)	(42, 6115.0)	(43, 6460.0)	(44, 6604.0)	(45, 6838.0)	(46, 7486.0)	(47, 7387.0)	(48, 7881.0)	(49, 8251.0)	(50, 8680.0)	(51, 9361.0)	(52, 11057.0)	(53, 12974.0)	(54, 11261.0)	(55, 15178.0)	(56, 21571.0)	(57, 30144.0)	(58, 83030.0)	(59, 309568.0)	(60, 1042593.0)	(61, 2888369.0)	
fastp_SRR18396500_R1	(26, 8.0)	(27, 5.0)	(28, 8.0)	(29, 8.0)	(30, 23.0)	(31, 1168.0)	(32, 3720.0)	(33, 3996.0)	(34, 4414.0)	(35, 4952.0)	(36, 4800.0)	(37, 5123.0)	(38, 5822.0)	(39, 5528.0)	(40, 5985.0)	(41, 5428.0)	(42, 5605.0)	(43, 6067.0)	(44, 6451.0)	(45, 6807.0)	(46, 7332.0)	(47, 7429.0)	(48, 7995.0)	(49, 8257.0)	(50, 8907.0)	(51, 9847.0)	(52, 10624.0)	(53, 11152.0)	(54, 11908.0)	(55, 15472.0)	(56, 23231.0)	(57, 34553.0)	(58, 84843.0)	(59, 338122.0)	(60, 1084553.0)	(61, 3171478.0)											
fastp_SRR18396500_R2	(15, 5.0)	(16, 2.0)	(17, 2.0)	(18, 4.0)	(19, 10.0)	(20, 0.0)	(21, 3.0)	(22, 7.0)	(23, 0.0)	(24, 1.0)	(25, 1.0)	(26, 2.0)	(27, 12.0)	(28, 2.0)	(29, 6.0)	(30, 16.0)	(31, 1165.0)	(32, 4787.0)	(33, 5170.0)	(34, 5303.0)	(35, 6025.0)	(36, 5978.0)	(37, 5935.0)	(38, 6171.0)	(39, 6056.0)	(40, 6255.0)	(41, 6249.0)	(42, 6554.0)	(43, 6851.0)	(44, 7150.0)	(45, 7301.0)	(46, 7923.0)	(47, 7906.0)	(48, 8431.0)	(49, 8840.0)	(50, 9234.0)	(51, 9773.0)	(52, 10351.0)	(53, 11384.0)	(54, 12077.0)	(55, 14859.0)	(56, 21101.0)	(57, 32061.0)	(58, 88446.0)	(59, 333180.0)	(60, 1120299.0)	(61, 3128733.0)
