Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
fastp_SRR18396491_R1	70.6517421779453	40.0	60.01691074253509	61	10.0	7.142383
fastp_SRR18396491_R2	60.19443801245571	40.0	59.94719577485554	61	10.0	7.142383
fastp_SRR18396493_R1	69.26122812027063	40.0	59.99149673590297	61	10.0	9.156131
fastp_SRR18396493_R2	61.41449367810963	40.0	59.94635430620204	61	10.0	9.156131
fastp_SRR18396494_R1	67.97350764338468	40.0	60.031827557265636	61	10.0	6.817614
fastp_SRR18396494_R2	59.21997547943136	40.0	59.94993409717828	61	10.0	6.817614
fastp_SRR18396495_R1	63.703417697611066	40.0	60.00706133867143	61	10.0	4.555935
fastp_SRR18396495_R2	53.53050342426624	40.0	59.92107437880479	61	10.0	4.555935
fastp_SRR18396500_R1	63.705124313684834	40.0	59.999192934471125	61	10.0	4.911620999999999
fastp_SRR18396500_R2	54.111418719664314	40.0	59.93744896033306	61	10.0	4.911620999999999
fastp_SRR18396512_R1	69.20359900993299	40.0	59.99256130315621	61	10.0	5.288023
fastp_SRR18396512_R2	57.152887397227175	40.0	59.91434000948937	61	10.0	5.288023
