"","SRR18396491","SRR18396493","SRR18396494","SRR18396495","SRR18396500","SRR18396512"
"YDL246C",0,0,0,1,0,0
"YDL243C",1105,1390,1004,680,649,717
"YDR387C",1334,1344,1097,799,792,880
"YDL094C",5,9,8,6,8,6
"YDR438W",291,389,373,235,225,229
"YDR523C",96,200,89,79,114,60
"YDR542W",6,0,0,0,0,0
"YDR492W",1852,1955,1825,890,1136,1100
"YDR018C",1093,1343,813,714,731,803
"YDL189W",974,1169,1065,640,718,587
"YDR508C",3797,6357,3582,2326,2718,3392
"YDR462W",723,992,831,453,572,495
"YDR175C",901,1129,903,580,662,584
"YDR186C",5312,7749,5883,4141,4223,4313
"YDR150W",5446,6737,3611,3345,3123,4071
"YDR243C",576,629,707,385,385,375
"YDL182W",1288,1754,1350,998,981,1047
"YDR362C",978,1185,984,568,646,692
"YDR232W",2368,3380,2301,1501,1558,1959
"YDR158W",1651,2066,1856,956,1228,1267
"YDR439W",321,480,400,229,245,222
"YDL206W",3046,3911,2362,2100,1805,1912
"YDR125C",950,1200,976,501,599,570
"YDR338C",1424,1681,1614,826,1074,908
"YDR526C",4,11,3,2,9,10
"YDR533C",5145,6896,4135,2548,3159,2987
"YDR272W",6343,8747,5504,3367,4192,3756
"YDR197W",1139,1227,867,635,690,680
"YDR512C",2547,4486,3278,1444,2154,1317
"YDR489W",164,196,129,119,89,116
"YDR299W",397,703,548,379,435,280
"YDL015C",1504,1796,1136,872,956,998
"YDR304C",2003,2457,1542,974,1215,1210
"YDR271C",5,1,1,1,0,3
"YDL181W",1410,2251,1504,1005,1236,1033
"YDR367W",1675,2372,1443,1128,1156,668
"YDR085C",3334,4491,3103,2260,2303,2490
"YDL097C",2945,3601,2680,1862,2041,2516
"YDL139C",876,1213,1037,556,764,563
"YDR200C",1233,1432,1097,670,842,792
"YDR191W",359,389,443,176,305,162
"YDR451C",68,112,46,34,45,43
"YDR469W",432,836,846,284,505,199
"YDR470C",1086,1136,853,574,745,670
"YDR105C",2402,2737,1826,1351,1339,1510
"YDR483W",5699,7122,5704,3591,4080,4272
"YDL123W",2517,2955,1946,1547,1490,2102
"YDL199C",1589,1903,1220,1044,969,1316
"YDR505C",5332,6360,4879,2671,3349,3146
"YDL045W-A",511,524,380,278,278,267
"YDL045C",972,1151,837,582,632,728
"YDR361C",830,1294,684,557,631,498
"YDR406W-A",11,11,4,0,4,14
"YDR199W",9,4,4,5,5,7
"YDR266C",877,1408,977,810,618,730
"YDL242W",53,77,64,64,49,48
"YDR002W",1022,1673,994,512,906,419
"YDR214W",6191,8006,5563,4164,4218,5253
"YDR130C",604,794,668,373,512,402
"YDL176W",799,1058,705,450,475,578
"YDR358W",5062,5556,3608,2851,2806,3389
"YDR544C",0,6,0,2,4,0
"YDR460W",825,1213,1112,560,699,630
