#Transcript position	Transcript coverage profile
0.0	687.4043007466785
1.0	1849.1245141738716
2.0	3021.14245677965
3.0	3975.8789700034085
4.0	4848.9962237409945
5.0	5604.20136354459
6.0	5980.082471014208
7.0	6324.7678499483145
8.0	6612.556525279917
9.0	6834.02132614595
10.0	7136.624391111321
11.0	7348.239532838985
12.0	7514.656971618516
13.0	7658.44794899785
14.0	7696.940576165623
15.0	7679.0915154604945
16.0	7734.536082592073
17.0	7829.2821575162425
18.0	7774.659765623049
19.0	7743.33156524433
20.0	7732.436823770442
21.0	7764.624458432484
22.0	7710.4513869266175
23.0	7827.39171265143
24.0	7750.491558295911
25.0	7702.1275934034065
26.0	7762.547807306275
27.0	7826.872128392576
28.0	7821.75429598563
29.0	7868.727955208183
30.0	7866.3849869672895
31.0	7839.3738141490585
32.0	7930.668968563994
33.0	8083.156608402758
34.0	8174.13609634572
35.0	8227.724169851586
36.0	8310.211232927431
37.0	8470.808537023717
38.0	8450.374935262906
39.0	8468.866211709552
40.0	8514.66549896621
41.0	8439.865500692416
42.0	8374.34299204639
43.0	8307.202666413657
44.0	8188.554667314041
45.0	8207.789760465894
46.0	8190.229963351184
47.0	8162.946669015979
48.0	8088.432797198049
49.0	7850.811107630459
50.0	7830.209373035189
51.0	7831.114123998933
52.0	7811.714241456165
53.0	7809.610682213456
54.0	7958.121860849466
55.0	8032.154151116082
56.0	7992.556671416883
57.0	7800.394608147841
58.0	7671.725553686627
59.0	7610.68207964069
60.0	7639.017616100836
61.0	7749.913620318272
62.0	7787.206431684853
63.0	7777.132678109791
64.0	7656.813985281163
65.0	7649.460864027173
66.0	7830.652293152454
67.0	7889.384032617348
68.0	7771.241054782101
69.0	7632.2308550323705
70.0	7495.826904674678
71.0	7367.318003551811
72.0	7273.973970950832
73.0	7352.3082690101055
74.0	7346.686463213872
75.0	7311.217045099947
76.0	7124.890809916893
77.0	6861.872573505779
78.0	6497.951285742033
79.0	6112.38139645521
80.0	5877.199886070105
81.0	5742.050452048262
82.0	5585.341598714764
83.0	5340.215368612557
84.0	5128.625135500652
85.0	4991.567982704386
86.0	4794.2389062523125
87.0	4441.030947004657
88.0	4143.597151529431
89.0	3850.9973204453463
90.0	3551.4741870570774
91.0	3228.324882266189
92.0	2859.101258290313
93.0	2413.8143195785474
94.0	1897.804666451547
95.0	1396.440463307703
96.0	907.8677406212861
97.0	512.6045387471486
98.0	190.4634754844506
99.0	22.288563504029163
