#Transcript position	Transcript coverage profile
0.0	235.82930875485215
1.0	615.7512886165899
2.0	1041.0886808958999
3.0	1387.5152651791486
4.0	1714.4090107474372
5.0	2038.9173126560274
6.0	2137.8748791430558
7.0	2264.433616951693
8.0	2370.1953835074382
9.0	2442.2874169581214
10.0	2595.8747018319896
11.0	2663.9131609486476
12.0	2722.729151119355
13.0	2791.4846845647776
14.0	2785.596696712336
15.0	2744.1497255867034
16.0	2769.561518406297
17.0	2823.2656954604277
18.0	2776.42918648466
19.0	2758.188432273525
20.0	2751.327575335035
21.0	2750.1878360978603
22.0	2708.7751223085725
23.0	2806.483568105302
24.0	2761.562712264076
25.0	2711.1513075956886
26.0	2735.6476396368926
27.0	2764.795942006607
28.0	2773.862332376264
29.0	2791.9092096394625
30.0	2783.0081745096263
31.0	2782.67651317091
32.0	2857.573720515544
33.0	2950.6749870985636
34.0	2999.958555350951
35.0	3037.7288047560633
36.0	3096.3551006759167
37.0	3187.293061591054
38.0	3147.831431071428
39.0	3161.604458138632
40.0	3208.4515488856914
41.0	3177.0616072846233
42.0	3152.4788279429363
43.0	3114.8595281471216
44.0	3023.7280459556173
45.0	3048.405787535146
46.0	3019.1633963785357
47.0	2983.6552005361623
48.0	2944.315622087496
49.0	2805.6906166022036
50.0	2808.1115838644355
51.0	2795.2854840460354
52.0	2788.518801887664
53.0	2778.3786479238643
54.0	2870.421153592328
55.0	2903.3315614763083
56.0	2889.6342964406995
57.0	2788.376861486653
58.0	2700.388390653634
59.0	2647.6891195662383
60.0	2682.6599347878637
61.0	2755.5471937845336
62.0	2780.0474942232377
63.0	2759.274142717459
64.0	2703.0109060017917
65.0	2693.398280909283
66.0	2805.9363095311146
67.0	2865.8465453246286
68.0	2806.8465634541476
69.0	2759.904330006396
70.0	2706.1205508709145
71.0	2634.0713568947467
72.0	2585.483207625965
73.0	2688.6388764476155
74.0	2717.6202917526984
75.0	2717.42948438018
76.0	2643.4508160311307
77.0	2483.4176883572213
78.0	2282.222684381039
79.0	2044.4861808468484
80.0	1916.476898419738
81.0	1869.2141720748614
82.0	1811.3920897182545
83.0	1695.75600609771
84.0	1588.656553299819
85.0	1569.4296079160827
86.0	1500.5658136817283
87.0	1365.5385454919845
88.0	1256.9368568065227
89.0	1139.789467013814
90.0	1035.5444831537066
91.0	950.4012238903587
92.0	856.1572309686842
93.0	716.526225348802
94.0	556.1586920152982
95.0	394.95239980175245
96.0	254.03898027492298
97.0	141.71458076714558
98.0	54.83354421230848
99.0	6.393186265241141
