# Program:featureCounts v2.0.2; Command:"/Applications/software_bioinformatics/subread-2.0.2-macOS-x86_64/bin/featureCounts" "-T" "8" "-p" "-a" "/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/real_yeast.gtf" "-o" "FeatureCounts.txt" "/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/output_0_Aligned.sortedByCoord.out.bam" "/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/output_1_Aligned.sortedByCoord.out.bam" "/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/output_2_Aligned.sortedByCoord.out.bam" "/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/output_3_Aligned.sortedByCoord.out.bam" "/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/output_4_Aligned.sortedByCoord.out.bam" "/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/output_5_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/output_0_Aligned.sortedByCoord.out.bam	/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/output_1_Aligned.sortedByCoord.out.bam	/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/output_2_Aligned.sortedByCoord.out.bam	/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/output_3_Aligned.sortedByCoord.out.bam	/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/output_4_Aligned.sortedByCoord.out.bam	/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/output_5_Aligned.sortedByCoord.out.bam
YDL246C	chrIV	8683	9756	-	1074	0	0	0	1	0	0
YDL243C	chrIV	17577	18566	-	990	1105	1390	1004	680	649	717
YDR387C	chrIV	1248154	1249821	-	1668	1334	1344	1097	799	792	880
YDL094C	chrIV	289572	290081	-	510	5	9	8	6	8	6
YDR438W	chrIV	1338274	1339386	+	1113	291	389	373	235	225	229
YDR523C	chrIV	1485566	1487038	-	1473	96	200	89	79	114	60
YDR542W	chrIV	1523249	1523611	+	363	6	0	0	0	0	0
YDR492W	chrIV	1434924	1435874	+	951	1852	1955	1825	890	1136	1100
YDR018C	chrIV	482670	483860	-	1191	1093	1343	813	714	731	803
YDL189W	chrIV	122216	123589	+	1374	974	1169	1065	640	718	587
YDR508C	chrIV	1466453	1468444	-	1992	3797	6357	3582	2326	2718	3392
YDR462W	chrIV	1386073	1386516	+	444	723	992	831	453	572	495
YDR175C	chrIV	813193	814152	-	960	901	1129	903	580	662	584
YDR186C	chrIV	832859	835492	-	2634	5312	7749	5883	4141	4223	4313
YDR150W	chrIV	755628	763874	+	8247	5446	6737	3611	3345	3123	4071
YDR243C	chrIV	948518	950284	-	1767	576	629	707	385	385	375
YDL182W	chrIV	133437	134723	+	1287	1288	1754	1350	998	981	1047
YDR362C	chrIV	1196679	1198697	-	2019	978	1185	984	568	646	692
YDR232W	chrIV	927452	929098	+	1647	2368	3380	2301	1501	1558	1959
YDR158W	chrIV	770357	771454	+	1098	1651	2066	1856	956	1228	1267
YDR439W	chrIV	1339676	1340719	+	1044	321	480	400	229	245	222
YDL206W	chrIV	90176	92464	+	2289	3046	3911	2362	2100	1805	1912
YDR125C	chrIV	701397	702758	-	1362	950	1200	976	501	599	570
YDR338C	chrIV	1147379	1149466	-	2088	1424	1681	1614	826	1074	908
YDR526C	chrIV	1491075	1491545	-	471	4	11	3	2	9	10
YDR533C	chrIV	1501447	1502160	-	714	5145	6896	4135	2548	3159	2987
YDR272W	chrIV	1009010	1009834	+	825	6343	8747	5504	3367	4192	3756
YDR197W	chrIV	851228	852397	+	1170	1139	1227	867	635	690	680
YDR512C	chrIV	1470500	1471063	-	564	2547	4486	3278	1444	2154	1317
YDR489W	chrIV	1431012	1431896	+	885	164	196	129	119	89	116
YDR299W	chrIV	1059627	1061231	+	1605	397	703	548	379	435	280
YDL015C	chrIV	426002	426934	-	933	1504	1796	1136	872	956	998
YDR304C	chrIV	1071880	1072557	-	678	2003	2457	1542	974	1215	1210
YDR271C	chrIV	1008395	1008766	-	372	5	1	1	1	0	3
YDL181W	chrIV	135179	135436	+	258	1410	2251	1504	1005	1236	1033
