chrI	139188	139218	+
chrI	181179	181210	+
chrII	36435	36452	+
chrII	89126	89132	-
chrII	426490	426516	-
chrIII	90897	90928	+
chrIII	227979	227997	+
chrIV	122177	122215	+
chrIV	216490	216528	+
chrIV	340799	340810	-
chrIV	359614	359636	+
chrIV	653524	653606	+
chrIV	884398	884457	+
chrIV	946351	946364	+
chrIV	1095406	1095424	-
chrIV	1461759	1461791	-
chrIX	128149	128150	+
chrmt	60725	61867	+
chrV	363093	363099	+
chrVI	101412	101442	+
chrVI	157952	157970	-
chrVI	167476	167489	+
chrVI	191558	191576	-
chrVI	210655	210668	-
chrVI	223438	223440	-
chrVII	115525	115547	+
chrVII	148589	148598	-
chrVII	150172	150183	-
chrVII	205559	205590	+
chrVII	287386	287419	-
chrVII	423130	423161	+
chrVII	437935	437941	-
chrVII	440752	440770	-
chrVII	534459	534473	-
chrVII	700989	701011	-
chrVII	787780	787786	-
chrVII	857422	857453	-
chrVII	878746	878779	-
chrVIII	237884	237902	-
chrVIII	358514	358532	-
chrVIII	388929	388959	-
chrX	172368	172432	-
chrX	354283	354296	+
chrX	415967	416000	-
chrX	542992	543005	-
chrX	617957	617975	+
chrXI	93299	93311	-
chrXI	166488	166543	+
chrXI	302954	302987	+
chrXI	458595	458626	+
chrXI	579002	579024	+
chrXII	92584	92614	+
chrXII	455182	455413	-
chrXII	455572	455932	-
chrXII	464319	464550	-
chrXII	464709	465069	-
chrXII	592563	592581	-
chrXII	605336	605395	-
chrXII	628421	628453	+
chrXII	732128	732146	+
chrXII	784390	784409	+
chrXII	795900	795912	-
chrXII	856435	856441	+
chrXII	856575	857057	+
chrXII	875413	875435	+
chrXII	898646	898650	+
chrXIII	168834	168847	+
chrXIII	196104	196134	-
chrXIII	352317	352334	+
chrXIII	379339	379372	-
chrXIII	504933	504964	+
chrXIII	837967	837980	+
chrXIV	374906	374923	+
chrXIV	443044	443075	+
chrXIV	501503	501514	+
chrXIV	547130	547160	+
chrXIV	568151	568181	+
chrXV	274710	274728	+
chrXV	288231	288244	+
chrXV	301133	301162	+
chrXV	438680	438702	+
chrXV	464486	464515	+
chrXV	780121	780277	+
chrXV	980719	980751	+
chrXVI	56205	56238	-
chrXVI	115294	115311	+
chrXVI	281374	281503	-
chrXVI	560234	560252	-
chrXVI	622576	622594	-
chrXVI	769243	769265	-
